model,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1_score,f1_score_std,mse,mse_std,mae,mae_std,rmse,rmse_std
Yolov5,0.39246452128722764,0.07365530478014384,0.968152518652204,0.005754736620665605,0.1986445182724253,0.10151430215172463,0.31745957309178946,0.14046584376761018,1.2699180491704978,0.13702313831013588,0.8585648610833501,0.0787648061824972,1.1252322171887958,0.06140445074165646
Yolov8,0.4580651609034579,0.09500423246196807,0.9660811064806415,0.010612779189324547,0.2910299003322259,0.13444084207681123,0.4296461797303028,0.15769207139779826,1.136078352988207,0.17888523406828497,0.7842094743154109,0.10497296054750758,1.0625123950407795,0.08453261721319921
Yolov12,0.49976014391365176,0.08569426787878257,0.9674605252479062,0.010885855219856903,0.3479867109634552,0.12162471825585364,0.4984411881979944,0.13561962885694348,1.0685988406955826,0.16969489210234037,0.7390765540675595,0.09686385855286246,1.0305308224875824,0.08127154851883527
RTDETR,0.6080151908854687,0.10870068233589819,0.9396851304699357,0.017650010704655064,0.5139933554817275,0.16154345227383865,0.6476278203399147,0.13898096284334896,0.8811313212072756,0.21481709923549439,0.6250449730161903,0.1224942545076783,0.9318198989558508,0.11332694788612056
