model,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1_score,f1_score_std,mse,mse_std,mae,mae_std,rmse,rmse_std
Yolov5,0.8112328767123287,0.03886657567281638,0.9671902144906397,0.018292164344103294,0.8120418848167539,0.05340827405782865,0.8814567919373164,0.029088766343010216,0.48100456621004567,0.08014477840065061,0.37506849315068497,0.0476757813747054,0.6912393690087524,0.056503990500030146
Yolov8,0.8217351598173515,0.054452203172212964,0.9630100054093471,0.015809282143471895,0.8286910994764398,0.07591904670710253,0.8883409469674106,0.039342971172586234,0.46356164383561643,0.13022056116350572,0.3548858447488584,0.0746914728830005,0.674253185334356,0.09457423487446784
Yolov12,0.829041095890411,0.029514252401981952,0.9584451329677742,0.01097643858838346,0.8410471204188482,0.044628218200011,0.8950062401156,0.021321586178369833,0.42712328767123287,0.06495494378223332,0.34365296803652967,0.036769305385891016,0.651642641330155,0.049851335704189134
RTDETR,0.7790867579908676,0.0766010281947011,0.9272900808752753,0.019916790527828136,0.809109947643979,0.08054568422707911,0.8625298690365467,0.054921575739774096,0.5198173515981735,0.1429302811940439,0.4107762557077626,0.10027447164084717,0.7148756818919667,0.09364887098982613
