metric,mean,std
accuracy,0.829041095890411,0.029514252401981952
precision,0.9584451329677742,0.01097643858838346
recall,0.8410471204188482,0.044628218200011
f1_score,0.8950062401156,0.021321586178369833
mse,0.42712328767123287,0.06495494378223332
mae,0.34365296803652967,0.036769305385891016
rmse,0.651642641330155,0.049851335704189134
num_samples,2190.0,0.0
