epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,198.814,1.20842,0.81234,1.20059,0.849,0.83491,0.87269,0.5068,1.36513,0.75925,1.28814,0.000848969,0.000848969,0.000848969
43,201.899,1.18767,0.79007,1.18506,0.83467,0.81869,0.84055,0.48498,1.38309,0.75858,1.29052,0.000834822,0.000834822,0.000834822
44,204.837,1.19569,0.80835,1.18631,0.84604,0.80512,0.84195,0.48697,1.38399,0.75222,1.28805,0.000820675,0.000820675,0.000820675
45,207.689,1.1989,0.79331,1.18811,0.85516,0.79061,0.84757,0.48675,1.36936,0.7773,1.28875,0.000806528,0.000806528,0.000806528
46,210.539,1.21486,0.8138,1.19994,0.83287,0.86553,0.87545,0.50518,1.36526,0.73542,1.28193,0.00079238,0.00079238,0.00079238
47,213.332,1.19669,0.79421,1.1816,0.86133,0.82705,0.87579,0.50288,1.38221,0.74692,1.29084,0.000778233,0.000778233,0.000778233
48,216.084,1.20161,0.79141,1.18871,0.82611,0.84718,0.86813,0.50794,1.38359,0.75075,1.29412,0.000764086,0.000764086,0.000764086
49,218.92,1.19392,0.78068,1.1885,0.81675,0.81727,0.84249,0.48618,1.3751,0.76146,1.28548,0.000749939,0.000749939,0.000749939
50,221.783,1.19379,0.77603,1.18531,0.84683,0.82929,0.86324,0.51105,1.35709,0.74257,1.2753,0.000735792,0.000735792,0.000735792
51,224.609,1.17836,0.78115,1.17562,0.8545,0.84494,0.85613,0.49618,1.38138,0.7573,1.28428,0.000721645,0.000721645,0.000721645
52,227.361,1.19533,0.78719,1.19542,0.82416,0.82063,0.851,0.49358,1.37151,0.74241,1.28032,0.000707498,0.000707498,0.000707498
53,230.274,1.17937,0.77857,1.18136,0.80775,0.82236,0.84884,0.48325,1.39458,0.74291,1.28652,0.000693351,0.000693351,0.000693351
54,233.052,1.15507,0.76374,1.16272,0.81112,0.83612,0.85778,0.48842,1.39232,0.74536,1.29562,0.000679204,0.000679204,0.000679204
55,235.809,1.17259,0.77564,1.18301,0.85525,0.82879,0.85586,0.48219,1.39165,0.732,1.28835,0.000665057,0.000665057,0.000665057
56,238.605,1.17513,0.76407,1.17381,0.81205,0.85114,0.87116,0.49792,1.35028,0.75076,1.27037,0.000650909,0.000650909,0.000650909
57,241.53,1.17419,0.7665,1.17162,0.83473,0.83287,0.85494,0.48608,1.36478,0.74375,1.28295,0.000636762,0.000636762,0.000636762
58,244.316,1.16328,0.75853,1.17801,0.81995,0.84937,0.85083,0.48752,1.38486,0.74537,1.29206,0.000622615,0.000622615,0.000622615
59,247.047,1.15473,0.75275,1.1759,0.82445,0.86032,0.87929,0.50911,1.36366,0.72989,1.27956,0.000608468,0.000608468,0.000608468
60,249.808,1.14911,0.74623,1.16872,0.82082,0.8262,0.85724,0.49631,1.39304,0.73537,1.29461,0.000594321,0.000594321,0.000594321
61,252.563,1.15177,0.74899,1.16987,0.82951,0.83723,0.85801,0.5018,1.38504,0.73952,1.28744,0.000580174,0.000580174,0.000580174
62,255.33,1.13153,0.73456,1.16061,0.83291,0.84633,0.86614,0.50129,1.37288,0.72812,1.2826,0.000566027,0.000566027,0.000566027
63,258.084,1.12807,0.73421,1.16279,0.85916,0.84594,0.87373,0.50009,1.37878,0.72273,1.28477,0.00055188,0.00055188,0.00055188
64,260.915,1.15112,0.73781,1.17313,0.83072,0.84182,0.86572,0.49852,1.36574,0.73889,1.27357,0.000537733,0.000537733,0.000537733
65,263.696,1.14459,0.73468,1.15807,0.82749,0.84283,0.86109,0.49899,1.39052,0.73211,1.28113,0.000523586,0.000523586,0.000523586
66,266.482,1.1428,0.73716,1.1603,0.854,0.86855,0.86629,0.50215,1.37841,0.71032,1.27558,0.000509438,0.000509438,0.000509438
67,269.275,1.12703,0.74417,1.15495,0.81035,0.83741,0.84187,0.48818,1.35841,0.7256,1.27365,0.000495291,0.000495291,0.000495291
68,272.039,1.12436,0.72851,1.15925,0.82027,0.85857,0.85472,0.48781,1.37763,0.71868,1.28329,0.000481144,0.000481144,0.000481144
