epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.20794,1.6229,2.64731,1.423,0.92406,0.24276,0.29495,0.14888,1.62425,2.78453,1.46625,0.00046641,0.00046641,0.00046641
2,8.22599,1.5529,1.39774,1.36839,0.47223,0.55464,0.62214,0.32803,1.56032,1.80584,1.53716,0.00093341,0.00093341,0.00093341
3,12.0572,1.50085,1.2637,1.35,0.5276,0.63278,0.59571,0.27704,1.78211,1.47458,1.61408,0.00139098,0.00139098,0.00139098
4,15.8051,1.5179,1.24487,1.37307,0.80414,0.51421,0.57702,0.26831,1.85542,1.41043,1.67939,0.00138656,0.00138656,0.00138656
5,19.6299,1.45067,1.16531,1.33574,0.72373,0.58253,0.62821,0.2957,1.69568,1.18284,1.52333,0.00137241,0.00137241,0.00137241
6,23.4437,1.46792,1.17754,1.3465,0.71495,0.58593,0.63249,0.31569,1.6873,1.2591,1.55225,0.00135826,0.00135826,0.00135826
7,27.2695,1.42763,1.11837,1.32627,0.64483,0.71989,0.6933,0.37786,1.52394,1.10945,1.39882,0.00134412,0.00134412,0.00134412
8,31.2156,1.39186,1.07055,1.30754,0.65353,0.69286,0.69139,0.36867,1.54498,1.0624,1.42512,0.00132997,0.00132997,0.00132997
9,35.0175,1.38578,1.05376,1.31179,0.70969,0.75233,0.75301,0.41283,1.47186,1.0505,1.37217,0.00131582,0.00131582,0.00131582
10,38.8792,1.38952,1.0538,1.31637,0.76182,0.73391,0.77147,0.41419,1.50068,0.98497,1.42469,0.00130168,0.00130168,0.00130168
11,42.7594,1.38523,1.04186,1.30758,0.72228,0.7531,0.76635,0.41379,1.45331,1.00175,1.37819,0.00128753,0.00128753,0.00128753
12,46.6108,1.36142,1.00622,1.29432,0.77878,0.74821,0.80129,0.42606,1.50677,0.94385,1.39368,0.00127338,0.00127338,0.00127338
13,50.4909,1.368,1.00262,1.30567,0.73244,0.77389,0.79803,0.43564,1.51462,0.9896,1.42769,0.00125923,0.00125923,0.00125923
14,54.3841,1.35943,0.99354,1.30176,0.73515,0.76747,0.77383,0.42047,1.46837,1.10469,1.39818,0.00124509,0.00124509,0.00124509
15,58.2312,1.32737,0.98273,1.28649,0.71629,0.78545,0.78872,0.42694,1.48752,0.93932,1.41004,0.00123094,0.00123094,0.00123094
16,62.0315,1.33336,0.97179,1.29484,0.80533,0.74552,0.78224,0.40755,1.56625,0.96138,1.44326,0.00121679,0.00121679,0.00121679
17,65.8585,1.33186,0.9523,1.29177,0.7756,0.726,0.75941,0.40238,1.50624,0.9687,1.43712,0.00120265,0.00120265,0.00120265
18,69.6768,1.3143,0.96363,1.28853,0.81939,0.76569,0.81114,0.45367,1.4898,0.9149,1.43002,0.0011885,0.0011885,0.0011885
19,73.5468,1.31551,0.92328,1.29006,0.80772,0.78698,0.82654,0.4546,1.45773,0.87757,1.3969,0.00117435,0.00117435,0.00117435
20,77.4197,1.31578,0.93437,1.2886,0.80735,0.75995,0.79162,0.44149,1.42069,0.9145,1.37543,0.00116021,0.00116021,0.00116021
21,81.2848,1.30711,0.92665,1.27772,0.77173,0.76482,0.79481,0.43885,1.45874,0.93265,1.39446,0.00114606,0.00114606,0.00114606
22,85.1293,1.29648,0.91018,1.27191,0.80073,0.76825,0.79668,0.44294,1.49421,0.93065,1.4428,0.00113191,0.00113191,0.00113191
23,88.9899,1.30894,0.91368,1.28103,0.83262,0.82326,0.84267,0.47268,1.43536,0.83775,1.39634,0.00111776,0.00111776,0.00111776
24,92.8796,1.28272,0.90058,1.27521,0.76806,0.71652,0.76061,0.41927,1.44681,0.90708,1.39399,0.00110362,0.00110362,0.00110362
25,96.6804,1.28543,0.88609,1.27421,0.83846,0.76074,0.82597,0.47206,1.44894,0.84042,1.40096,0.00108947,0.00108947,0.00108947
26,100.476,1.27013,0.88093,1.26081,0.83635,0.73525,0.80881,0.46286,1.39676,0.84646,1.36024,0.00107532,0.00107532,0.00107532
27,104.208,1.27536,0.87896,1.25902,0.8159,0.78359,0.83197,0.48269,1.40339,0.83463,1.37807,0.00106118,0.00106118,0.00106118
28,107.98,1.26886,0.87593,1.26148,0.82499,0.79205,0.82912,0.46215,1.46806,0.81488,1.42436,0.00104703,0.00104703,0.00104703
29,111.826,1.28323,0.88258,1.272,0.83895,0.79869,0.83607,0.48923,1.40278,0.80908,1.38183,0.00103288,0.00103288,0.00103288
