epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,494.234,0.3631,0.56862,0.31986,0.83562,0.81918,0.84181,0.49623,0.43371,0.53873,0.4994,0.000848969,0.000848969,0.000848969
43,505.921,0.36843,0.55589,0.32423,0.82624,0.81852,0.82438,0.4859,0.43619,0.54128,0.50314,0.000834822,0.000834822,0.000834822
44,517.618,0.35784,0.55445,0.30784,0.82293,0.79362,0.80507,0.45908,0.45033,0.5503,0.53872,0.000820675,0.000820675,0.000820675
45,529.305,0.35857,0.54434,0.31198,0.83396,0.83202,0.83414,0.49032,0.4343,0.56043,0.49645,0.000806528,0.000806528,0.000806528
46,540.874,0.3607,0.53518,0.3134,0.8004,0.80881,0.80512,0.47413,0.43215,0.56073,0.4902,0.00079238,0.00079238,0.00079238
47,552.615,0.36127,0.5356,0.30895,0.81391,0.79766,0.79845,0.46424,0.44648,0.53379,0.53069,0.000778233,0.000778233,0.000778233
48,564.233,0.34582,0.53302,0.29899,0.83555,0.78992,0.81123,0.48131,0.44131,0.546,0.5177,0.000764086,0.000764086,0.000764086
49,575.844,0.35189,0.53502,0.30358,0.82556,0.84606,0.83846,0.49977,0.42598,0.54404,0.48068,0.000749939,0.000749939,0.000749939
50,587.419,0.35039,0.53207,0.29974,0.83935,0.85259,0.85253,0.49342,0.43768,0.518,0.51085,0.000735792,0.000735792,0.000735792
51,599.11,0.34947,0.53202,0.30198,0.83885,0.811,0.82683,0.48425,0.43742,0.55151,0.50278,0.000721645,0.000721645,0.000721645
52,610.831,0.34895,0.52139,0.30548,0.83161,0.83471,0.83918,0.48753,0.43973,0.55794,0.51544,0.000707498,0.000707498,0.000707498
53,622.568,0.3383,0.52212,0.29934,0.81961,0.83765,0.84197,0.48664,0.44105,0.54074,0.51144,0.000693351,0.000693351,0.000693351
54,634.291,0.34297,0.51902,0.29425,0.81576,0.84157,0.84288,0.49631,0.43142,0.53572,0.50292,0.000679204,0.000679204,0.000679204
55,645.957,0.34711,0.51963,0.29936,0.86703,0.83814,0.85112,0.50182,0.43583,0.54415,0.50619,0.000665057,0.000665057,0.000665057
56,657.78,0.35104,0.52052,0.30161,0.82932,0.83433,0.83777,0.48999,0.4361,0.5491,0.50466,0.000650909,0.000650909,0.000650909
57,669.503,0.34217,0.52304,0.29034,0.85592,0.83181,0.84301,0.49885,0.43518,0.55096,0.49515,0.000636762,0.000636762,0.000636762
58,681.32,0.33632,0.50711,0.29078,0.84978,0.82826,0.844,0.49909,0.4366,0.54033,0.49967,0.000622615,0.000622615,0.000622615
59,693.016,0.33857,0.51533,0.29901,0.85223,0.85624,0.8624,0.49898,0.44116,0.53131,0.51178,0.000608468,0.000608468,0.000608468
60,704.706,0.33424,0.50797,0.28775,0.8286,0.83478,0.82331,0.48687,0.43491,0.55394,0.50311,0.000594321,0.000594321,0.000594321
61,716.396,0.3346,0.49778,0.29066,0.82923,0.82908,0.83027,0.48126,0.43972,0.56418,0.50291,0.000580174,0.000580174,0.000580174
62,728.02,0.32604,0.50925,0.27555,0.82232,0.81545,0.81445,0.4849,0.44093,0.57048,0.50022,0.000566027,0.000566027,0.000566027
63,739.694,0.32871,0.50682,0.28968,0.86485,0.79307,0.84317,0.49235,0.43869,0.55283,0.5054,0.00055188,0.00055188,0.00055188
64,751.386,0.33519,0.50262,0.29103,0.82436,0.81662,0.80189,0.47587,0.44191,0.54878,0.50004,0.000537733,0.000537733,0.000537733
65,763.084,0.32529,0.50099,0.28231,0.83514,0.82263,0.83574,0.48959,0.44248,0.53646,0.5021,0.000523586,0.000523586,0.000523586
66,774.794,0.32742,0.49151,0.2831,0.8504,0.82171,0.82207,0.476,0.44873,0.55588,0.53082,0.000509438,0.000509438,0.000509438
67,786.461,0.32173,0.48939,0.27722,0.84788,0.81262,0.81607,0.47161,0.45031,0.55766,0.52475,0.000495291,0.000495291,0.000495291
68,798.132,0.32205,0.48611,0.27661,0.86185,0.79607,0.80897,0.46188,0.45328,0.57118,0.5358,0.000481144,0.000481144,0.000481144
69,809.746,0.31957,0.4868,0.27956,0.83787,0.80409,0.81189,0.4674,0.44309,0.57763,0.50872,0.000466997,0.000466997,0.000466997
70,821.335,0.31626,0.48513,0.27688,0.84242,0.79739,0.80693,0.45496,0.45913,0.55741,0.54813,0.00045285,0.00045285,0.00045285
71,833.021,0.3161,0.47191,0.26746,0.86044,0.79673,0.8177,0.46206,0.44808,0.56974,0.51386,0.000438703,0.000438703,0.000438703
72,844.697,0.31876,0.46912,0.27352,0.84937,0.79026,0.80968,0.472,0.44903,0.57353,0.513,0.000424556,0.000424556,0.000424556
73,856.467,0.31115,0.46623,0.27113,0.88568,0.77508,0.83085,0.4797,0.44087,0.55503,0.50621,0.000410409,0.000410409,0.000410409
74,868.172,0.30709,0.46652,0.26082,0.84979,0.78472,0.81145,0.47021,0.44523,0.57778,0.51308,0.000396262,0.000396262,0.000396262
75,879.753,0.3051,0.46743,0.25754,0.82764,0.81567,0.8249,0.47313,0.44589,0.55723,0.51182,0.000382115,0.000382115,0.000382115
76,891.335,0.30339,0.45991,0.26469,0.80393,0.79718,0.78893,0.45406,0.4498,0.58931,0.51694,0.000367967,0.000367967,0.000367967
77,902.976,0.30255,0.46918,0.26075,0.85032,0.80086,0.80103,0.46602,0.44399,0.56542,0.51072,0.00035382,0.00035382,0.00035382
78,914.611,0.29886,0.46049,0.26107,0.86741,0.79413,0.81592,0.46419,0.45934,0.55708,0.54733,0.000339673,0.000339673,0.000339673
79,926.303,0.30347,0.4582,0.26131,0.84274,0.77287,0.80457,0.46396,0.45311,0.56902,0.52696,0.000325526,0.000325526,0.000325526
80,938.067,0.30397,0.44839,0.26628,0.84378,0.80052,0.8204,0.47497,0.44845,0.59685,0.51043,0.000311379,0.000311379,0.000311379
81,949.713,0.3,0.45473,0.25746,0.84379,0.80159,0.80943,0.46895,0.44377,0.57536,0.50576,0.000297232,0.000297232,0.000297232
82,961.428,0.29462,0.45946,0.25969,0.83426,0.81826,0.81518,0.46484,0.451,0.55782,0.51925,0.000283085,0.000283085,0.000283085
83,973.046,0.29887,0.44811,0.26307,0.87055,0.78022,0.80819,0.46201,0.45391,0.5701,0.52357,0.000268938,0.000268938,0.000268938
84,984.686,0.29308,0.44647,0.25248,0.83184,0.80712,0.80084,0.46969,0.44557,0.61292,0.51096,0.000254791,0.000254791,0.000254791
85,996.365,0.28461,0.44619,0.24717,0.86515,0.77046,0.79713,0.46622,0.45483,0.58096,0.52655,0.000240644,0.000240644,0.000240644
86,1008.03,0.2859,0.43674,0.25292,0.8161,0.7939,0.78921,0.45942,0.45283,0.57723,0.52466,0.000226497,0.000226497,0.000226497
87,1019.75,0.28722,0.43095,0.24283,0.8733,0.74337,0.77666,0.45102,0.45691,0.59114,0.52558,0.000212349,0.000212349,0.000212349
88,1031.44,0.28412,0.43442,0.24679,0.87233,0.81007,0.81311,0.46731,0.46088,0.5652,0.53296,0.000198202,0.000198202,0.000198202
89,1043.14,0.28833,0.42788,0.24231,0.82887,0.79603,0.79056,0.45902,0.45446,0.58813,0.52343,0.000184055,0.000184055,0.000184055
90,1054.83,0.28491,0.42582,0.24701,0.84186,0.81128,0.80138,0.46462,0.45451,0.58035,0.52208,0.000169908,0.000169908,0.000169908
91,1067,0.24917,0.33772,0.24316,0.85777,0.79948,0.80857,0.46595,0.45904,0.58125,0.52771,0.000155761,0.000155761,0.000155761
92,1078.66,0.24807,0.33164,0.23412,0.86164,0.78288,0.80476,0.46282,0.45418,0.57672,0.52243,0.000141614,0.000141614,0.000141614
93,1090.28,0.24282,0.32491,0.2318,0.84339,0.80242,0.81122,0.46045,0.45907,0.58763,0.5245,0.000127467,0.000127467,0.000127467
94,1101.93,0.23746,0.32896,0.22821,0.8605,0.78354,0.80299,0.45927,0.46136,0.57798,0.52742,0.00011332,0.00011332,0.00011332
95,1113.53,0.23118,0.31816,0.21743,0.8635,0.77433,0.80251,0.46143,0.45821,0.59915,0.52047,9.91726e-05,9.91726e-05,9.91726e-05
96,1125.12,0.23166,0.3171,0.22451,0.83,0.79529,0.79002,0.4552,0.45656,0.60085,0.52437,8.50255e-05,8.50255e-05,8.50255e-05
97,1136.7,0.23266,0.3174,0.22251,0.83914,0.80556,0.80383,0.46064,0.46057,0.58852,0.53188,7.08784e-05,7.08784e-05,7.08784e-05
98,1148.34,0.22751,0.31066,0.21783,0.83589,0.79936,0.79701,0.45722,0.46135,0.5954,0.52977,5.67313e-05,5.67313e-05,5.67313e-05
99,1159.87,0.22902,0.30998,0.2143,0.86145,0.78012,0.79573,0.45655,0.45932,0.60228,0.52658,4.25842e-05,4.25842e-05,4.25842e-05
100,1171.37,0.22508,0.30998,0.21571,0.84385,0.77662,0.79774,0.45854,0.45976,0.59852,0.52669,2.84371e-05,2.84371e-05,2.84371e-05
