epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.60512,1.66546,2.4207,1.46607,0.89229,0.26204,0.46145,0.22191,1.67097,2.25128,1.45439,0.00046641,0.00046641,0.00046641
2,5.19445,1.48248,1.33353,1.35556,0.59259,0.64301,0.62617,0.31282,1.70461,1.58153,1.50982,0.00093341,0.00093341,0.00093341
3,7.67512,1.46088,1.24297,1.33731,0.65112,0.59098,0.60668,0.28811,1.82533,1.42404,1.6519,0.00139098,0.00139098,0.00139098
4,10.1884,1.46051,1.21562,1.33278,0.53097,0.65555,0.61194,0.32905,1.52447,1.40814,1.38994,0.00138656,0.00138656,0.00138656
5,12.7235,1.42225,1.12764,1.31452,0.62513,0.68313,0.666,0.36887,1.52113,1.07698,1.41727,0.00137241,0.00137241,0.00137241
6,15.2143,1.40107,1.11564,1.31549,0.65952,0.74382,0.72108,0.40237,1.48124,1.07611,1.37547,0.00135826,0.00135826,0.00135826
7,17.7062,1.39082,1.09817,1.29889,0.72104,0.6967,0.73695,0.41178,1.46407,1.01267,1.34419,0.00134412,0.00134412,0.00134412
8,20.1797,1.39122,1.05976,1.29349,0.66869,0.75256,0.72499,0.41025,1.47273,1.03505,1.34165,0.00132997,0.00132997,0.00132997
9,22.61,1.36275,1.03111,1.28706,0.68427,0.69515,0.70359,0.3893,1.47377,1.0203,1.36252,0.00131582,0.00131582,0.00131582
10,24.9958,1.36191,1.01955,1.29135,0.78202,0.73785,0.77252,0.4363,1.46009,0.9345,1.33502,0.00130168,0.00130168,0.00130168
11,27.4368,1.34128,0.99839,1.27649,0.67551,0.65164,0.66359,0.36509,1.489,1.00342,1.36717,0.00128753,0.00128753,0.00128753
12,29.833,1.33972,1.00067,1.28151,0.75666,0.77995,0.78455,0.44371,1.43155,0.94196,1.33339,0.00127338,0.00127338,0.00127338
13,32.3151,1.31954,0.98481,1.27406,0.76474,0.755,0.77608,0.4493,1.41929,0.91424,1.34037,0.00125923,0.00125923,0.00125923
14,34.7961,1.30645,0.97046,1.25912,0.81987,0.7987,0.80436,0.46759,1.35355,0.87563,1.2927,0.00124509,0.00124509,0.00124509
15,37.2593,1.30552,0.96716,1.26726,0.80844,0.78274,0.80198,0.45526,1.39593,0.87283,1.3259,0.00123094,0.00123094,0.00123094
16,39.6372,1.29431,0.9335,1.25727,0.82173,0.74371,0.79648,0.45644,1.39008,0.87249,1.29643,0.00121679,0.00121679,0.00121679
17,42.019,1.2804,0.92644,1.24917,0.79579,0.76106,0.79409,0.45129,1.41186,0.90059,1.34377,0.00120265,0.00120265,0.00120265
18,44.4127,1.28084,0.91186,1.25501,0.77182,0.80384,0.81279,0.4672,1.3982,0.81577,1.31223,0.0011885,0.0011885,0.0011885
19,46.8283,1.28473,0.90883,1.2573,0.80457,0.81017,0.8301,0.46926,1.40648,0.8611,1.31559,0.00117435,0.00117435,0.00117435
20,49.3042,1.27447,0.89311,1.2522,0.78925,0.79679,0.81519,0.46782,1.38802,0.85856,1.31847,0.00116021,0.00116021,0.00116021
21,51.7246,1.28607,0.89755,1.25474,0.72226,0.7683,0.7671,0.44419,1.40911,0.92816,1.32445,0.00114606,0.00114606,0.00114606
22,54.1564,1.2623,0.88948,1.24142,0.85542,0.77308,0.83257,0.48626,1.36198,0.78728,1.29634,0.00113191,0.00113191,0.00113191
23,56.5768,1.25682,0.88355,1.23172,0.7907,0.79279,0.79684,0.46317,1.34652,0.84063,1.2868,0.00111776,0.00111776,0.00111776
