epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.68129,1.6431,2.63244,1.42178,0.81888,0.30978,0.27368,0.14625,1.55206,2.9343,1.39352,0.00046641,0.00046641,0.00046641
2,8.688,1.57045,1.3813,1.37789,0.5891,0.36115,0.5672,0.30621,1.55787,1.89899,1.46764,0.00093341,0.00093341,0.00093341
3,12.5093,1.51654,1.26068,1.35711,0.54924,0.55753,0.55468,0.26365,1.86136,1.5547,1.76044,0.00139098,0.00139098,0.00139098
4,16.3624,1.51633,1.22061,1.36166,0.58521,0.65705,0.58996,0.30478,1.625,1.31262,1.53557,0.00138656,0.00138656,0.00138656
5,20.588,1.4564,1.1715,1.33569,0.71319,0.59576,0.6454,0.34795,1.59515,1.14069,1.48333,0.00137241,0.00137241,0.00137241
6,24.4119,1.46456,1.14813,1.34296,0.66181,0.67708,0.69452,0.37956,1.53121,1.17623,1.42457,0.00135826,0.00135826,0.00135826
7,28.3016,1.43144,1.11208,1.32531,0.58741,0.68132,0.64783,0.33472,1.59298,1.16965,1.43341,0.00134412,0.00134412,0.00134412
8,32.1689,1.42417,1.07641,1.31717,0.69482,0.67874,0.69997,0.39279,1.49487,1.05983,1.38086,0.00132997,0.00132997,0.00132997
9,35.9857,1.40735,1.06425,1.32389,0.66196,0.69791,0.70167,0.38399,1.49673,1.08418,1.38794,0.00131582,0.00131582,0.00131582
10,39.7573,1.39881,1.06001,1.31552,0.74438,0.69074,0.70524,0.3914,1.50237,1.02151,1.40038,0.00130168,0.00130168,0.00130168
11,43.4114,1.38549,1.03303,1.31016,0.73621,0.69969,0.72979,0.40841,1.50071,1.03772,1.39004,0.00128753,0.00128753,0.00128753
12,47.086,1.38016,1.02994,1.2984,0.67342,0.67245,0.70143,0.37449,1.59219,1.09992,1.46827,0.00127338,0.00127338,0.00127338
13,50.7639,1.37583,1.01835,1.31012,0.81273,0.6719,0.7452,0.40909,1.54895,1.00195,1.39282,0.00125923,0.00125923,0.00125923
14,54.501,1.35304,0.99251,1.29643,0.67272,0.73897,0.72276,0.39932,1.46686,0.99339,1.3547,0.00124509,0.00124509,0.00124509
15,58.2923,1.35366,0.979,1.29359,0.70971,0.71597,0.72663,0.39044,1.5447,0.99589,1.41469,0.00123094,0.00123094,0.00123094
16,62.449,1.32744,0.97242,1.2904,0.71253,0.73722,0.73826,0.40862,1.48731,0.97321,1.37948,0.00121679,0.00121679,0.00121679
17,66.2343,1.33471,0.95635,1.29424,0.67412,0.71714,0.72232,0.398,1.52496,1.02378,1.38796,0.00120265,0.00120265,0.00120265
18,70.0061,1.33976,0.96745,1.29127,0.78241,0.70505,0.76007,0.41696,1.46974,0.94975,1.3889,0.0011885,0.0011885,0.0011885
19,73.8077,1.30881,0.92383,1.28072,0.77344,0.748,0.78661,0.45614,1.43118,0.91945,1.35916,0.00117435,0.00117435,0.00117435
20,77.6253,1.30407,0.92686,1.27663,0.76833,0.73541,0.78443,0.45141,1.42974,0.88373,1.3666,0.00116021,0.00116021,0.00116021
21,81.4027,1.30307,0.9222,1.28208,0.78006,0.73324,0.77009,0.44431,1.42763,0.90318,1.34908,0.00114606,0.00114606,0.00114606
22,85.1758,1.294,0.91084,1.26956,0.78137,0.73756,0.77883,0.44561,1.42582,0.88464,1.35499,0.00113191,0.00113191,0.00113191
23,88.9037,1.29537,0.89172,1.27135,0.77194,0.77925,0.79652,0.46923,1.35967,0.88187,1.33609,0.00111776,0.00111776,0.00111776
24,92.7135,1.28822,0.89913,1.27801,0.7901,0.79022,0.81909,0.46136,1.4091,0.87174,1.34146,0.00110362,0.00110362,0.00110362
25,96.5152,1.28419,0.89257,1.26594,0.81942,0.73327,0.79487,0.45794,1.44022,0.87442,1.36358,0.00108947,0.00108947,0.00108947
26,100.235,1.28068,0.88192,1.26832,0.76089,0.78182,0.78404,0.4535,1.41929,0.85087,1.35396,0.00107532,0.00107532,0.00107532
27,103.932,1.28588,0.87596,1.27099,0.75768,0.77569,0.76977,0.45096,1.43446,0.87752,1.36912,0.00106118,0.00106118,0.00106118
28,107.709,1.27847,0.89359,1.27456,0.8065,0.77579,0.79556,0.46881,1.38685,0.85977,1.33612,0.00104703,0.00104703,0.00104703
29,111.509,1.26651,0.8659,1.26105,0.80502,0.77459,0.79612,0.463,1.42315,0.86272,1.36279,0.00103288,0.00103288,0.00103288
30,115.269,1.25999,0.87067,1.25891,0.73422,0.73765,0.74985,0.42354,1.49995,0.90988,1.3745,0.00101873,0.00101873,0.00101873
31,118.943,1.2608,0.859,1.25509,0.84432,0.7746,0.81121,0.47112,1.4087,0.85976,1.35356,0.00100459,0.00100459,0.00100459
32,122.698,1.24477,0.83967,1.2435,0.78133,0.79318,0.80838,0.48067,1.38873,0.87252,1.34976,0.00099044,0.00099044,0.00099044
33,126.507,1.24742,0.84909,1.2542,0.80732,0.73126,0.78632,0.46506,1.37262,0.83746,1.33906,0.000976293,0.000976293,0.000976293
34,130.301,1.24278,0.84266,1.26056,0.81439,0.77796,0.80392,0.47947,1.3494,0.80739,1.3241,0.000962146,0.000962146,0.000962146
35,134.104,1.25491,0.83946,1.25286,0.80707,0.78353,0.81211,0.47323,1.40066,0.83735,1.33729,0.000947999,0.000947999,0.000947999
36,137.898,1.23343,0.82275,1.23949,0.74013,0.80872,0.79904,0.46185,1.38652,0.80699,1.35409,0.000933851,0.000933851,0.000933851
