epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.52608,1.62967,2.67871,1.41506,0.96483,0.22831,0.29661,0.1477,1.67488,2.9448,1.55128,0.00046641,0.00046641,0.00046641
2,8.96786,1.55692,1.38789,1.36957,0.70105,0.53109,0.62763,0.31027,1.61542,1.70728,1.54596,0.00093341,0.00093341,0.00093341
3,13.0145,1.52994,1.26994,1.36517,0.51801,0.56238,0.54123,0.25039,1.7215,1.63336,1.64627,0.00139098,0.00139098,0.00139098
4,16.9963,1.51729,1.23714,1.3714,0.56358,0.51908,0.53167,0.2515,1.77645,1.45228,1.70347,0.00138656,0.00138656,0.00138656
5,20.9246,1.48803,1.18631,1.36569,0.63234,0.62853,0.64665,0.29635,1.87006,1.56211,1.78635,0.00137241,0.00137241,0.00137241
6,24.8391,1.45579,1.15411,1.34158,0.66934,0.69668,0.7145,0.38355,1.52312,1.19962,1.44148,0.00135826,0.00135826,0.00135826
7,28.7452,1.44448,1.14597,1.34035,0.63325,0.67035,0.69513,0.36973,1.55313,1.09278,1.43407,0.00134412,0.00134412,0.00134412
8,32.6137,1.41907,1.0771,1.31858,0.68288,0.66225,0.66902,0.3448,1.56246,1.19658,1.43964,0.00132997,0.00132997,0.00132997
9,36.511,1.41939,1.07982,1.32599,0.74953,0.68912,0.75011,0.40257,1.47193,1.04728,1.39404,0.00131582,0.00131582,0.00131582
10,40.4398,1.37904,1.04531,1.31664,0.69807,0.68821,0.68279,0.35197,1.60306,1.16563,1.48125,0.00130168,0.00130168,0.00130168
11,44.3018,1.38978,1.0262,1.31364,0.79155,0.76794,0.79724,0.43622,1.44873,0.94749,1.38041,0.00128753,0.00128753,0.00128753
12,48.1876,1.37571,1.02202,1.31426,0.74632,0.77802,0.78038,0.42955,1.44792,0.93526,1.37495,0.00127338,0.00127338,0.00127338
13,52.0863,1.36366,0.99359,1.30825,0.73446,0.74589,0.75864,0.41658,1.45529,0.98574,1.4077,0.00125923,0.00125923,0.00125923
14,55.9061,1.35758,0.98,1.29776,0.79842,0.74967,0.78884,0.43793,1.42499,0.93952,1.37079,0.00124509,0.00124509,0.00124509
15,59.8025,1.34436,0.96903,1.29708,0.7751,0.79677,0.81073,0.4541,1.41567,0.87632,1.37287,0.00123094,0.00123094,0.00123094
16,63.7296,1.33244,0.97043,1.29708,0.75594,0.77492,0.79357,0.44441,1.40377,0.93051,1.37188,0.00121679,0.00121679,0.00121679
17,67.6635,1.33134,0.94301,1.28743,0.82015,0.74058,0.78613,0.44283,1.45058,0.91021,1.38878,0.00120265,0.00120265,0.00120265
18,71.446,1.33518,0.93285,1.29948,0.83135,0.7534,0.80478,0.44911,1.45815,0.92653,1.39393,0.0011885,0.0011885,0.0011885
19,75.344,1.32074,0.94548,1.29419,0.7603,0.80668,0.80806,0.4646,1.44574,0.82822,1.38669,0.00117435,0.00117435,0.00117435
20,79.2596,1.33886,0.93697,1.29802,0.80523,0.74917,0.80088,0.45507,1.39383,0.87641,1.37561,0.00116021,0.00116021,0.00116021
21,83.1589,1.29936,0.92424,1.28445,0.80567,0.76623,0.82416,0.47158,1.37994,0.85745,1.34375,0.00114606,0.00114606,0.00114606
22,87.0431,1.30062,0.90161,1.27678,0.76374,0.7912,0.80027,0.45499,1.41075,0.86313,1.37318,0.00113191,0.00113191,0.00113191
23,90.9322,1.30335,0.89779,1.2766,0.8062,0.77721,0.82079,0.46791,1.37372,0.89185,1.33739,0.00111776,0.00111776,0.00111776
24,94.8201,1.30239,0.90135,1.27758,0.78062,0.77942,0.80202,0.45454,1.41268,0.8524,1.37076,0.00110362,0.00110362,0.00110362
25,98.7274,1.2772,0.87406,1.26834,0.82432,0.7538,0.80649,0.45914,1.41242,0.86519,1.40675,0.00108947,0.00108947,0.00108947
26,102.603,1.30455,0.88855,1.29766,0.82618,0.78892,0.83751,0.46509,1.38427,0.82702,1.39064,0.00107532,0.00107532,0.00107532
27,106.51,1.2783,0.87979,1.26818,0.81597,0.80619,0.83385,0.46766,1.39029,0.8345,1.35888,0.00106118,0.00106118,0.00106118
28,110.416,1.27379,0.87315,1.27996,0.82013,0.78429,0.82319,0.4602,1.41027,0.88848,1.38861,0.00104703,0.00104703,0.00104703
29,114.285,1.2668,0.86597,1.26066,0.76662,0.80671,0.82023,0.47449,1.36747,0.82753,1.35885,0.00103288,0.00103288,0.00103288
30,118.203,1.26033,0.85909,1.26502,0.81976,0.74015,0.80529,0.46815,1.36295,0.83802,1.35169,0.00101873,0.00101873,0.00101873
31,122.084,1.28492,0.86533,1.27244,0.77578,0.74348,0.79267,0.45115,1.41779,0.85381,1.38049,0.00100459,0.00100459,0.00100459
32,125.991,1.25382,0.84179,1.25356,0.80769,0.769,0.81938,0.46427,1.40046,0.8316,1.40017,0.00099044,0.00099044,0.00099044
