epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.84131,1.64101,2.34809,1.44191,0.47662,0.46211,0.54629,0.28136,1.61433,1.88316,1.46957,0.00046641,0.00046641,0.00046641
2,5.6339,1.49418,1.32758,1.35169,0.59189,0.56986,0.60233,0.31464,1.63221,1.58598,1.49878,0.00093341,0.00093341,0.00093341
3,8.40269,1.44275,1.21793,1.32726,0.57097,0.64685,0.63182,0.30157,1.78384,1.37801,1.55293,0.00139098,0.00139098,0.00139098
4,11.0606,1.45415,1.20373,1.33708,0.59751,0.52239,0.54719,0.2787,1.69786,1.29899,1.54759,0.00138656,0.00138656,0.00138656
5,13.779,1.408,1.13598,1.30713,0.64174,0.64691,0.66118,0.35641,1.54643,1.1065,1.42946,0.00137241,0.00137241,0.00137241
6,16.8874,1.42026,1.13236,1.31876,0.69821,0.64464,0.69039,0.35528,1.62349,1.25732,1.46018,0.00135826,0.00135826,0.00135826
7,19.764,1.37729,1.07035,1.29295,0.75097,0.69444,0.73721,0.37848,1.54112,1.0625,1.37259,0.00134412,0.00134412,0.00134412
8,22.3459,1.36225,1.04413,1.28053,0.83429,0.66311,0.75135,0.4137,1.49229,1.01985,1.36853,0.00132997,0.00132997,0.00132997
9,24.8263,1.35511,1.02543,1.28799,0.7799,0.75731,0.8078,0.42935,1.47584,1.00954,1.37459,0.00131582,0.00131582,0.00131582
10,27.4538,1.3566,1.03013,1.28855,0.76247,0.75926,0.79848,0.43765,1.44968,0.94598,1.35659,0.00130168,0.00130168,0.00130168
11,30.0003,1.34935,0.996,1.28022,0.74763,0.74641,0.78619,0.429,1.49808,0.95977,1.37111,0.00128753,0.00128753,0.00128753
12,32.4483,1.32853,0.97379,1.27134,0.71883,0.75868,0.76365,0.4167,1.47751,0.95293,1.36194,0.00127338,0.00127338,0.00127338
13,34.9715,1.33885,0.97645,1.2775,0.80856,0.78805,0.83282,0.46867,1.4425,0.90198,1.34277,0.00125923,0.00125923,0.00125923
14,37.454,1.31556,0.9514,1.26533,0.77491,0.7568,0.81336,0.45361,1.44623,0.86485,1.32632,0.00124509,0.00124509,0.00124509
15,39.8748,1.30562,0.94129,1.26045,0.766,0.80732,0.82678,0.44977,1.45054,0.88847,1.35814,0.00123094,0.00123094,0.00123094
16,42.3483,1.31127,0.94565,1.26246,0.74433,0.74363,0.75503,0.42416,1.45899,0.91427,1.3418,0.00121679,0.00121679,0.00121679
17,44.7893,1.30304,0.92586,1.26236,0.78475,0.71127,0.75165,0.41308,1.49126,0.93283,1.37431,0.00120265,0.00120265,0.00120265
18,47.2636,1.28444,0.92065,1.25052,0.84485,0.74047,0.8075,0.46152,1.42557,0.85308,1.33786,0.0011885,0.0011885,0.0011885
19,49.6155,1.27684,0.89214,1.25392,0.81287,0.75224,0.80634,0.44962,1.42865,0.85777,1.34285,0.00117435,0.00117435,0.00117435
20,51.9701,1.2887,0.88807,1.25879,0.77817,0.80187,0.81328,0.45595,1.43436,0.83562,1.34856,0.00116021,0.00116021,0.00116021
21,54.3224,1.27073,0.89187,1.24472,0.71742,0.76982,0.76916,0.43654,1.44261,0.88742,1.35129,0.00114606,0.00114606,0.00114606
22,56.8057,1.25557,0.86362,1.23072,0.8088,0.82683,0.84781,0.48375,1.42921,0.81531,1.32822,0.00113191,0.00113191,0.00113191
23,59.262,1.27654,0.88041,1.24289,0.82898,0.8553,0.85922,0.48366,1.4251,0.79477,1.33814,0.00111776,0.00111776,0.00111776
24,61.6627,1.25353,0.87025,1.23821,0.77717,0.75683,0.79685,0.43201,1.43893,0.8262,1.32196,0.00110362,0.00110362,0.00110362
25,64.0027,1.25328,0.85634,1.23268,0.80758,0.80854,0.85055,0.48179,1.41778,0.78836,1.33431,0.00108947,0.00108947,0.00108947
26,66.6635,1.2335,0.84625,1.22384,0.7867,0.77509,0.82109,0.46563,1.40699,0.82103,1.32199,0.00107532,0.00107532,0.00107532
27,69.6621,1.25613,0.85321,1.22986,0.75783,0.70448,0.75101,0.41201,1.50934,0.86934,1.38382,0.00106118,0.00106118,0.00106118
28,72.4092,1.2319,0.84104,1.22733,0.76667,0.77914,0.80303,0.45583,1.41383,0.82696,1.32924,0.00104703,0.00104703,0.00104703
29,74.982,1.24564,0.85183,1.23134,0.83569,0.81649,0.84803,0.48494,1.40554,0.79187,1.33165,0.00103288,0.00103288,0.00103288
30,77.6186,1.22428,0.84695,1.22625,0.78335,0.81743,0.81162,0.46959,1.38213,0.79882,1.31708,0.00101873,0.00101873,0.00101873
31,80.2789,1.22153,0.81789,1.21879,0.84712,0.7868,0.84301,0.48013,1.40242,0.78235,1.33546,0.00100459,0.00100459,0.00100459
32,82.7391,1.22001,0.81389,1.2167,0.76328,0.86889,0.84998,0.48488,1.38179,0.78084,1.32962,0.00099044,0.00099044,0.00099044
33,85.5838,1.22861,0.82744,1.22877,0.80298,0.81015,0.84211,0.47799,1.37427,0.80787,1.31534,0.000976293,0.000976293,0.000976293
34,88.0229,1.20107,0.8192,1.21688,0.85664,0.7931,0.84495,0.48442,1.38925,0.80722,1.32667,0.000962146,0.000962146,0.000962146
35,90.4647,1.23097,0.81659,1.22265,0.78821,0.84932,0.86463,0.49143,1.39358,0.773,1.32027,0.000947999,0.000947999,0.000947999
36,93.0498,1.20676,0.80156,1.20553,0.81138,0.82301,0.854,0.50138,1.38032,0.77124,1.31394,0.000933851,0.000933851,0.000933851
37,95.6191,1.20102,0.80281,1.21419,0.79746,0.86523,0.85834,0.49598,1.38402,0.78556,1.31356,0.000919704,0.000919704,0.000919704
38,97.9886,1.18971,0.78567,1.20838,0.80734,0.80337,0.84389,0.47154,1.42967,0.81672,1.33867,0.000905557,0.000905557,0.000905557
39,100.341,1.19302,0.79838,1.21113,0.82489,0.80894,0.8428,0.48569,1.40407,0.7908,1.32007,0.00089141,0.00089141,0.00089141
40,102.707,1.20447,0.78379,1.20957,0.80032,0.79537,0.83495,0.48394,1.37808,0.77465,1.31343,0.000877263,0.000877263,0.000877263
41,105.112,1.19095,0.78038,1.20484,0.79987,0.86338,0.86285,0.48797,1.40407,0.74335,1.32329,0.000863116,0.000863116,0.000863116
42,107.484,1.19438,0.78154,1.2091,0.8316,0.86885,0.85294,0.48317,1.36679,0.74453,1.30273,0.000848969,0.000848969,0.000848969
43,109.979,1.17011,0.76294,1.19465,0.81753,0.84881,0.85618,0.48715,1.4121,0.74365,1.33423,0.000834822,0.000834822,0.000834822
44,112.513,1.17698,0.77577,1.19703,0.81543,0.8635,0.86606,0.50334,1.38272,0.74004,1.31241,0.000820675,0.000820675,0.000820675
45,115.351,1.1779,0.75532,1.19589,0.85633,0.83307,0.87992,0.51395,1.36809,0.73658,1.30403,0.000806528,0.000806528,0.000806528
46,117.732,1.2004,0.77556,1.20836,0.83026,0.83723,0.84983,0.4953,1.37955,0.74605,1.29805,0.00079238,0.00079238,0.00079238
47,120.181,1.18435,0.76758,1.19251,0.82904,0.84567,0.85533,0.5076,1.37957,0.74863,1.31326,0.000778233,0.000778233,0.000778233
48,122.601,1.1788,0.76639,1.1931,0.81243,0.85452,0.85053,0.50475,1.36858,0.7381,1.31179,0.000764086,0.000764086,0.000764086
49,125.04,1.17643,0.74767,1.19475,0.80435,0.83455,0.8355,0.48308,1.3658,0.76312,1.30755,0.000749939,0.000749939,0.000749939
50,127.475,1.17062,0.74669,1.19293,0.82776,0.84814,0.85542,0.49341,1.39292,0.75393,1.32536,0.000735792,0.000735792,0.000735792
51,129.896,1.15789,0.75466,1.18537,0.82301,0.84622,0.83974,0.4812,1.38789,0.76224,1.31902,0.000721645,0.000721645,0.000721645
52,132.32,1.169,0.76051,1.2021,0.8084,0.82043,0.84254,0.48776,1.38983,0.742,1.3233,0.000707498,0.000707498,0.000707498
53,134.731,1.15028,0.75096,1.18801,0.81008,0.83086,0.83525,0.4953,1.37383,0.75055,1.31031,0.000693351,0.000693351,0.000693351
54,137.142,1.12952,0.72943,1.17298,0.81823,0.86717,0.85133,0.485,1.39071,0.72938,1.32053,0.000679204,0.000679204,0.000679204
