epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6658,0.73848,12.3258,0.66991,0.79406,0.40881,0.42287,0.17895,0.58732,1.00831,0.81179,0.00046641,0.00046641,0.00046641
2,23.979,0.48523,0.78644,0.44421,0.49473,0.37868,0.38315,0.16703,0.55292,0.98809,0.6636,0.00093341,0.00093341,0.00093341
3,35.5776,0.49518,0.79293,0.44857,nan,0.0569,0.01007,0.00351,nan,nan,nan,0.00139098,0.00139098,0.00139098
4,47.1245,0.54524,0.92153,0.49517,nan,0.00336,0.00194,0.00086,nan,nan,nan,0.00138656,0.00138656,0.00138656
5,58.8088,0.65199,0.95601,0.60765,nan,0.02151,0.00349,0.00114,nan,nan,nan,0.00137241,0.00137241,0.00137241
6,70.5191,0.6186,1.03403,0.5635,nan,0.4139,0.15642,0.05847,nan,nan,nan,0.00135826,0.00135826,0.00135826
7,82.095,0.52578,0.96909,0.46677,0.72693,0.23226,0.15325,0.0525,0.73743,1.4064,0.89463,0.00134412,0.00134412,0.00134412
8,93.803,0.50144,0.84825,0.44385,0.75463,0.39638,0.46395,0.23215,0.49277,1.00062,0.56223,0.00132997,0.00132997,0.00132997
9,105.692,0.48742,0.8207,0.43603,nan,0.64938,0.42354,0.23329,nan,nan,nan,0.00131582,0.00131582,0.00131582
10,117.418,0.46562,0.80172,0.42155,nan,0.89414,0.58422,0.326,nan,nan,nan,0.00130168,0.00130168,0.00130168
11,129.218,0.46311,0.77526,0.41054,nan,0.92215,0.59605,0.32529,nan,nan,nan,0.00128753,0.00128753,0.00128753
12,140.924,0.46281,0.76635,0.40631,nan,0.61346,0.37371,0.18697,nan,nan,nan,0.00127338,0.00127338,0.00127338
13,152.512,0.45375,0.71334,0.408,0.65094,0.58125,0.60841,0.32843,0.47953,0.78683,0.57607,0.00125923,0.00125923,0.00125923
14,164.454,0.44733,0.72503,0.40162,0.67211,0.65211,0.66996,0.35827,0.48507,0.69818,0.62676,0.00124509,0.00124509,0.00124509
15,176.435,0.44423,0.74299,0.40254,nan,0.78671,0.5308,0.28266,nan,nan,nan,0.00123094,0.00123094,0.00123094
16,188.157,0.44443,0.71392,0.39719,nan,0.94,0.63538,0.33528,nan,nan,nan,0.00121679,0.00121679,0.00121679
17,199.883,0.44322,0.70882,0.39588,nan,0.96127,0.7023,0.39114,nan,nan,nan,0.00120265,0.00120265,0.00120265
18,211.607,0.43554,0.68937,0.39188,0.63478,0.6408,0.63447,0.32118,0.50568,0.74812,0.66702,0.0011885,0.0011885,0.0011885
19,223.166,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00117435,0.00117435,0.00117435
20,234.696,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00116021,0.00116021,0.00116021
21,246.349,0.42784,0.69537,0.38146,0,0,0,0,nan,nan,nan,0.00114606,0.00114606,0.00114606
22,257.862,0.42571,0.68313,0.37418,0,0,0,0,nan,nan,nan,0.00113191,0.00113191,0.00113191
23,269.419,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00111776,0.00111776,0.00111776
24,280.789,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00110362,0.00110362,0.00110362
25,292.376,0.38069,2.40573,0.32488,0,0,0,0,nan,nan,nan,0.00108947,0.00108947,0.00108947
26,303.981,0.3639,3.2226,0.28879,0,0,0,0,nan,nan,nan,0.00107532,0.00107532,0.00107532
27,315.505,0.36351,2.86196,0.27911,0,0,0,0,nan,nan,nan,0.00106118,0.00106118,0.00106118
28,327.133,0.3742,3.33346,0.29325,0,0,0,0,nan,nan,nan,0.00104703,0.00104703,0.00104703
29,338.709,0.38963,2.65542,0.30328,0,0,0,0,nan,nan,nan,0.00103288,0.00103288,0.00103288
30,350.298,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00101873,0.00101873,0.00101873
31,361.874,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00100459,0.00100459,0.00100459
32,373.649,0.47271,2.43754,0.36959,0,0,0,0,nan,nan,nan,0.00099044,0.00099044,0.00099044
33,385.315,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000976293,0.000976293,0.000976293
34,396.848,0.54688,2.09902,0.45076,0,0,0,0,nan,nan,nan,0.000962146,0.000962146,0.000962146
35,408.352,0.5951,2.04423,0.49309,0,0,0,0,nan,nan,nan,0.000947999,0.000947999,0.000947999
36,419.962,0.59515,1.94042,0.48897,0,0,0,0,nan,nan,nan,0.000933851,0.000933851,0.000933851
37,431.599,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000919704,0.000919704,0.000919704
38,443.087,0.50314,2.72491,0.41245,0,0,0,0,nan,nan,nan,0.000905557,0.000905557,0.000905557
39,454.506,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00089141,0.00089141,0.00089141
40,466.086,0.51638,4.96357,0.42122,0,0,0,0,nan,nan,nan,0.000877263,0.000877263,0.000877263
41,477.572,0.50547,6.63477,0.40991,0,0,0,0,nan,nan,nan,0.000863116,0.000863116,0.000863116
42,489.138,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000848969,0.000848969,0.000848969
43,500.739,0.47485,12.4345,0.37288,0,0,0,0,nan,nan,nan,0.000834822,0.000834822,0.000834822
44,512.287,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000820675,0.000820675,0.000820675
45,523.794,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000806528,0.000806528,0.000806528
46,535.293,0.47159,20.8244,0.36708,0,0,0,0,nan,nan,nan,0.00079238,0.00079238,0.00079238
47,546.812,0.46763,16.3495,0.36699,0,0,0,0,nan,nan,nan,0.000778233,0.000778233,0.000778233
48,558.268,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000764086,0.000764086,0.000764086
49,569.78,0.44826,15.4127,0.35639,0,0,0,0,nan,nan,nan,0.000749939,0.000749939,0.000749939
50,581.463,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000735792,0.000735792,0.000735792
51,593.043,0.46002,15.1019,0.36497,0,0,0,0,nan,nan,nan,0.000721645,0.000721645,0.000721645
52,604.535,0.47025,15.4772,0.37731,0,0,0,0,nan,nan,nan,0.000707498,0.000707498,0.000707498
53,616.018,0.45496,15.2895,0.3612,0,0,0,0,nan,nan,nan,0.000693351,0.000693351,0.000693351
54,627.517,0.46047,15.0904,0.36622,0,0,0,0,nan,nan,nan,0.000679204,0.000679204,0.000679204
55,639.006,0.45816,15.4213,0.36336,0,0,0,0,nan,nan,nan,0.000665057,0.000665057,0.000665057
56,650.585,0.45788,15.1723,0.36066,0,0,0,0,nan,nan,nan,0.000650909,0.000650909,0.000650909
57,662.144,0.46939,14.8275,0.36298,0,0,0,0,nan,nan,nan,0.000636762,0.000636762,0.000636762
58,673.644,0.45386,15.2409,0.35676,0,0,0,0,nan,nan,nan,0.000622615,0.000622615,0.000622615
