epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.87669,1.68694,2.3984,1.49553,0.93179,0.27109,0.50991,0.27442,1.63147,2.25633,1.41534,0.00046641,0.00046641,0.00046641
2,6.69758,1.51504,1.36376,1.37572,0.64167,0.35875,0.58734,0.32803,1.49945,1.74182,1.35282,0.00093341,0.00093341,0.00093341
3,9.38107,1.46706,1.25349,1.34028,0.5412,0.5663,0.59222,0.3113,1.63808,1.58085,1.48258,0.00139098,0.00139098,0.00139098
4,12.0463,1.45977,1.18515,1.33167,0.60994,0.63318,0.63839,0.34578,1.56316,1.22785,1.4159,0.00138656,0.00138656,0.00138656
5,14.7231,1.43552,1.15711,1.31625,0.59126,0.56701,0.61039,0.33437,1.57068,1.14729,1.41827,0.00137241,0.00137241,0.00137241
6,17.3704,1.42734,1.1313,1.31537,0.66811,0.60601,0.64136,0.35672,1.51796,1.18444,1.35311,0.00135826,0.00135826,0.00135826
7,20.1579,1.38704,1.09026,1.29194,0.62734,0.67776,0.68358,0.37782,1.48909,1.13242,1.3415,0.00134412,0.00134412,0.00134412
8,22.8545,1.40476,1.06068,1.29006,0.71308,0.6993,0.71664,0.39477,1.51184,1.01504,1.34151,0.00132997,0.00132997,0.00132997
9,25.5526,1.38462,1.05052,1.29603,0.6824,0.64457,0.67619,0.3647,1.53294,1.17251,1.38831,0.00131582,0.00131582,0.00131582
10,28.2397,1.37316,1.05511,1.28797,0.65087,0.66939,0.70059,0.39149,1.48998,1.0094,1.34597,0.00130168,0.00130168,0.00130168
11,30.8883,1.36708,1.02605,1.27872,0.66146,0.66031,0.70445,0.39186,1.4902,0.99532,1.32406,0.00128753,0.00128753,0.00128753
12,33.5823,1.36248,1.0195,1.27495,0.69125,0.69653,0.74161,0.4196,1.4339,1.01246,1.30126,0.00127338,0.00127338,0.00127338
13,36.2783,1.35667,1.00416,1.27179,0.62528,0.70174,0.69349,0.3779,1.57665,0.9939,1.35978,0.00125923,0.00125923,0.00125923
14,39.2249,1.32721,0.99594,1.26576,0.74688,0.70044,0.73187,0.41255,1.43645,0.97991,1.30674,0.00124509,0.00124509,0.00124509
15,42.1231,1.32688,0.97257,1.25977,0.75618,0.77261,0.76482,0.43422,1.39878,0.94512,1.28645,0.00123094,0.00123094,0.00123094
16,44.9733,1.31826,0.96813,1.25482,0.75924,0.75115,0.75829,0.42943,1.45606,0.89489,1.31033,0.00121679,0.00121679,0.00121679
