epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.54485,1.65206,2.36971,1.44858,0.41604,0.31281,0.46861,0.23165,1.70795,2.10436,1.50681,0.00046641,0.00046641,0.00046641
2,5.14569,1.50441,1.32184,1.36248,0.50681,0.6447,0.64824,0.32374,1.63832,1.79195,1.49663,0.00093341,0.00093341,0.00093341
3,7.61185,1.45529,1.23538,1.3327,0.62063,0.54775,0.5869,0.29808,1.70355,1.37488,1.51259,0.00139098,0.00139098,0.00139098
4,10.0595,1.4508,1.20853,1.33337,0.67937,0.68248,0.6696,0.34161,1.59581,1.19056,1.46253,0.00138656,0.00138656,0.00138656
5,12.5311,1.44639,1.15823,1.3347,0.63858,0.55347,0.58735,0.28688,1.7005,1.40345,1.46371,0.00137241,0.00137241,0.00137241
6,14.9589,1.39307,1.10569,1.30446,0.79147,0.66691,0.70338,0.3678,1.57431,1.0923,1.40886,0.00135826,0.00135826,0.00135826
7,17.3836,1.39816,1.08004,1.30682,0.69502,0.73136,0.75754,0.41194,1.48713,1.03281,1.36336,0.00134412,0.00134412,0.00134412
8,19.8293,1.36956,1.04161,1.28984,0.68052,0.71619,0.7252,0.39473,1.53756,1.03818,1.38273,0.00132997,0.00132997,0.00132997
9,22.282,1.36669,1.03101,1.2944,0.79191,0.78339,0.80698,0.44393,1.42291,0.93403,1.31784,0.00131582,0.00131582,0.00131582
10,24.7624,1.35524,1.03236,1.28664,0.72796,0.70815,0.72861,0.4095,1.46199,0.92729,1.34097,0.00130168,0.00130168,0.00130168
11,27.3438,1.33153,1.00278,1.27431,0.73699,0.68898,0.72769,0.39323,1.52038,0.99365,1.37325,0.00128753,0.00128753,0.00128753
12,29.8534,1.31838,0.9766,1.27158,0.79463,0.79685,0.8226,0.46943,1.43377,0.86599,1.32769,0.00127338,0.00127338,0.00127338
13,32.5817,1.32714,0.97221,1.27842,0.83264,0.75815,0.80558,0.45537,1.47585,0.82416,1.36638,0.00125923,0.00125923,0.00125923
14,35.0363,1.318,0.942,1.27058,0.73775,0.75334,0.78259,0.45147,1.41758,0.86285,1.34104,0.00124509,0.00124509,0.00124509
15,37.5362,1.31439,0.9565,1.27237,0.71878,0.77429,0.79949,0.4538,1.41425,0.85286,1.34504,0.00123094,0.00123094,0.00123094
16,39.9262,1.3085,0.94502,1.2676,0.78623,0.76114,0.7933,0.44571,1.40598,0.88964,1.32316,0.00121679,0.00121679,0.00121679
17,42.3474,1.29027,0.9217,1.25373,0.75656,0.80734,0.79156,0.44304,1.40456,0.88978,1.31819,0.00120265,0.00120265,0.00120265
18,44.803,1.28621,0.90892,1.259,0.80459,0.79868,0.82106,0.4749,1.40058,0.82638,1.32069,0.0011885,0.0011885,0.0011885
19,47.2597,1.28389,0.90694,1.25999,0.88142,0.73395,0.83043,0.47374,1.43356,0.86193,1.31417,0.00117435,0.00117435,0.00117435
20,49.7166,1.28574,0.88194,1.25877,0.82235,0.79733,0.83724,0.48294,1.39667,0.84841,1.32838,0.00116021,0.00116021,0.00116021
21,52.3259,1.27015,0.91182,1.25422,0.8139,0.77551,0.8149,0.48645,1.38068,0.82761,1.30005,0.00114606,0.00114606,0.00114606
22,54.7708,1.26658,0.88697,1.23926,0.82684,0.81113,0.84856,0.47801,1.4338,0.80335,1.33009,0.00113191,0.00113191,0.00113191
23,57.1805,1.25964,0.88057,1.24031,0.84937,0.78094,0.82638,0.483,1.39635,0.80076,1.32463,0.00111776,0.00111776,0.00111776
24,59.5713,1.26051,0.87654,1.25047,0.78562,0.79014,0.82003,0.46826,1.40918,0.83847,1.32216,0.00110362,0.00110362,0.00110362
25,61.998,1.25504,0.87388,1.23759,0.86957,0.7673,0.85026,0.49311,1.41549,0.7943,1.30663,0.00108947,0.00108947,0.00108947
26,64.478,1.24947,0.85983,1.23641,0.84034,0.80829,0.84634,0.49385,1.39112,0.78497,1.31183,0.00107532,0.00107532,0.00107532
27,66.9524,1.23222,0.84956,1.23238,0.80165,0.76087,0.78953,0.45819,1.40047,0.83586,1.3205,0.00106118,0.00106118,0.00106118
28,69.3511,1.24431,0.84843,1.23172,0.85259,0.78111,0.85238,0.49149,1.39812,0.77253,1.29913,0.00104703,0.00104703,0.00104703
29,71.7292,1.24414,0.85475,1.23413,0.83385,0.77606,0.8488,0.49912,1.39519,0.77722,1.32035,0.00103288,0.00103288,0.00103288
30,74.1574,1.23199,0.83934,1.22946,0.81001,0.79219,0.81635,0.46484,1.39702,0.8052,1.3113,0.00101873,0.00101873,0.00101873
31,76.5416,1.22659,0.8272,1.22567,0.82698,0.79051,0.83757,0.48122,1.39922,0.77948,1.3138,0.00100459,0.00100459,0.00100459
32,78.9878,1.23466,0.82829,1.22988,0.81352,0.82567,0.85694,0.49891,1.38303,0.76796,1.29675,0.00099044,0.00099044,0.00099044
33,81.4204,1.22505,0.82334,1.22856,0.82331,0.81063,0.85442,0.50356,1.35578,0.76854,1.29575,0.000976293,0.000976293,0.000976293
34,83.8777,1.23082,0.83526,1.23397,0.79676,0.80531,0.83795,0.47554,1.39723,0.78036,1.33073,0.000962146,0.000962146,0.000962146
35,86.3329,1.21504,0.81251,1.2271,0.79504,0.82629,0.85137,0.49795,1.36659,0.76306,1.32185,0.000947999,0.000947999,0.000947999
36,88.7019,1.21118,0.80038,1.21419,0.8379,0.81796,0.86374,0.50694,1.3831,0.74656,1.29735,0.000933851,0.000933851,0.000933851
37,91.1734,1.21522,0.80339,1.22142,0.82112,0.81196,0.85342,0.49531,1.37711,0.76371,1.29881,0.000919704,0.000919704,0.000919704
38,93.5723,1.2093,0.80869,1.21827,0.82748,0.82249,0.84709,0.50417,1.37102,0.75351,1.30055,0.000905557,0.000905557,0.000905557
39,96.0007,1.19447,0.80118,1.21156,0.86661,0.7657,0.84357,0.49322,1.3765,0.7614,1.30117,0.00089141,0.00089141,0.00089141
40,98.4351,1.20709,0.80176,1.21958,0.81253,0.81704,0.84464,0.48763,1.38299,0.75046,1.31301,0.000877263,0.000877263,0.000877263
41,100.813,1.17951,0.77409,1.20251,0.81585,0.83606,0.8501,0.50473,1.37605,0.72493,1.30118,0.000863116,0.000863116,0.000863116
42,103.196,1.19194,0.77789,1.21151,0.81317,0.83657,0.85443,0.50474,1.35356,0.72263,1.29952,0.000848969,0.000848969,0.000848969
43,105.622,1.19464,0.79965,1.21981,0.8259,0.82286,0.85531,0.51443,1.34333,0.74086,1.28761,0.000834822,0.000834822,0.000834822
44,108.042,1.1823,0.78722,1.2065,0.81308,0.81183,0.85164,0.49702,1.3698,0.73407,1.31362,0.000820675,0.000820675,0.000820675
45,110.482,1.17879,0.77369,1.20258,0.81169,0.82087,0.84703,0.49667,1.37681,0.74949,1.31448,0.000806528,0.000806528,0.000806528
46,112.852,1.20334,0.77113,1.21407,0.81294,0.83393,0.85499,0.51018,1.36568,0.71707,1.30492,0.00079238,0.00079238,0.00079238
