epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6593,0.73037,12.0486,0.65822,0.8059,0.51638,0.54568,0.27352,0.48175,0.8487,0.57969,0.00046641,0.00046641,0.00046641
2,23.8956,0.476,0.76321,0.43323,0.80317,0.4223,0.49994,0.25709,0.5361,0.81349,0.66202,0.00093341,0.00093341,0.00093341
3,35.4021,0.45669,0.7247,0.40722,nan,0.11639,0.05886,0.02847,nan,nan,nan,0.00139098,0.00139098,0.00139098
4,46.9985,0.45741,0.72308,0.4091,nan,0.82097,0.58604,0.28221,nan,nan,nan,0.00138656,0.00138656,0.00138656
5,58.5604,0.4551,0.7142,0.40477,nan,0.97344,0.72721,0.38742,nan,nan,nan,0.00137241,0.00137241,0.00137241
6,70.1491,0.44083,0.71385,0.39391,0.82712,0.41337,0.48808,0.25279,0.49247,0.91843,0.59319,0.00135826,0.00135826,0.00135826
7,81.7515,0.45092,0.71716,0.40392,nan,0.94332,0.60371,0.31324,nan,nan,nan,0.00134412,0.00134412,0.00134412
8,93.4412,0.4366,0.67203,0.37979,nan,0.54417,0.31957,0.14955,nan,nan,nan,0.00132997,0.00132997,0.00132997
9,105.116,0.43421,0.65476,0.38795,0.68857,0.63584,0.67106,0.33583,0.50861,0.69951,0.69302,0.00131582,0.00131582,0.00131582
10,117.081,0.42534,0.69126,0.38207,0.80212,0.72387,0.78051,0.43396,0.44197,0.69531,0.50486,0.00130168,0.00130168,0.00130168
11,129.31,0.42275,0.66774,0.37307,0.81011,0.73036,0.78226,0.42153,0.46236,0.60626,0.56446,0.00128753,0.00128753,0.00128753
12,140.937,0.41454,0.66386,0.36991,nan,0.88557,0.69444,0.38334,nan,nan,nan,0.00127338,0.00127338,0.00127338
13,152.563,0.40753,0.66846,0.36321,nan,0.93411,0.77252,0.42829,nan,nan,nan,0.00125923,0.00125923,0.00125923
14,164.233,0.41005,0.64261,0.36034,0.77339,0.73498,0.76704,0.4341,0.44659,0.5982,0.51919,0.00124509,0.00124509,0.00124509
15,175.908,0.41304,0.64832,0.36029,nan,0.93314,0.69912,0.38862,nan,nan,nan,0.00123094,0.00123094,0.00123094
16,187.586,0.41247,0.64196,0.36719,nan,0.89346,0.67022,0.374,nan,nan,nan,0.00121679,0.00121679,0.00121679
17,199.233,0.40478,0.62347,0.36614,0.74511,0.75817,0.78267,0.44694,0.4316,0.61464,0.50483,0.00120265,0.00120265,0.00120265
18,211.164,0.39879,0.62767,0.35433,0.79303,0.76974,0.7876,0.43901,0.45199,0.59269,0.55109,0.0011885,0.0011885,0.0011885
19,222.814,0.40115,0.62787,0.35511,nan,0.97258,0.78345,0.43498,nan,nan,nan,0.00117435,0.00117435,0.00117435
20,234.421,0.40656,0.61444,0.35721,nan,0.96473,0.76973,0.40755,nan,nan,nan,0.00116021,0.00116021,0.00116021
21,246.065,0.39201,0.62301,0.34926,nan,0.94166,0.74068,0.4268,nan,nan,nan,0.00114606,0.00114606,0.00114606
22,257.697,0.3963,0.61873,0.34992,nan,0.97471,0.80638,0.46152,nan,nan,nan,0.00113191,0.00113191,0.00113191
23,269.397,0.39251,0.60743,0.34682,0.79784,0.75448,0.7962,0.44519,0.46077,0.59874,0.52893,0.00111776,0.00111776,0.00111776
24,281.022,0.39423,0.60679,0.35001,0.80139,0.78574,0.82837,0.46637,0.43029,0.58054,0.48166,0.00110362,0.00110362,0.00110362
25,292.982,0.39802,0.5975,0.3463,0.82114,0.75851,0.79206,0.45888,0.42661,0.59081,0.48226,0.00108947,0.00108947,0.00108947
26,304.68,0.38989,0.59487,0.34432,0.77508,0.76322,0.79552,0.41946,0.47941,0.57921,0.60641,0.00107532,0.00107532,0.00107532
27,316.271,0.38444,0.59385,0.33878,0.82254,0.78946,0.81398,0.45709,0.43964,0.57402,0.51392,0.00106118,0.00106118,0.00106118
28,327.929,0.38578,0.60884,0.3387,0.78077,0.79482,0.81225,0.46234,0.44047,0.56516,0.50275,0.00104703,0.00104703,0.00104703
29,339.581,0.39064,0.57925,0.3386,nan,0.93732,0.75916,0.43974,nan,nan,nan,0.00103288,0.00103288,0.00103288
30,351.202,0.38229,0.59079,0.33873,0.85211,0.77853,0.82382,0.47901,0.42708,0.54448,0.48072,0.00101873,0.00101873,0.00101873
31,363.196,0.38292,0.57588,0.33469,0.7767,0.80107,0.83006,0.47552,0.4193,0.57144,0.47204,0.00100459,0.00100459,0.00100459
32,374.885,0.3875,0.5873,0.33173,0.82737,0.81196,0.82976,0.48504,0.42921,0.55238,0.48683,0.00099044,0.00099044,0.00099044
33,386.871,0.38389,0.57103,0.33988,0.83874,0.77874,0.81644,0.47882,0.42949,0.56312,0.48338,0.000976293,0.000976293,0.000976293
34,398.556,0.392,0.5849,0.34351,nan,0.97782,0.80498,0.47262,nan,nan,nan,0.000962146,0.000962146,0.000962146
35,410.195,0.37924,0.57824,0.33137,nan,0.93696,0.7842,0.46028,nan,nan,nan,0.000947999,0.000947999,0.000947999
36,421.831,0.37248,0.5666,0.32498,nan,0.86566,0.72922,0.43716,nan,nan,nan,0.000933851,0.000933851,0.000933851
37,433.529,0.38026,0.57483,0.33407,nan,0.88262,0.71515,0.41581,nan,nan,nan,0.000919704,0.000919704,0.000919704
38,445.256,0.37086,0.5662,0.32604,nan,0.91901,0.76591,0.4429,nan,nan,nan,0.000905557,0.000905557,0.000905557
39,456.936,0.37135,0.55769,0.32341,nan,0.83593,0.70187,0.4166,nan,nan,nan,0.00089141,0.00089141,0.00089141
40,468.63,0.37917,0.54868,0.33299,nan,0.95594,0.75389,0.4385,nan,nan,nan,0.000877263,0.000877263,0.000877263
41,480.339,0.36542,0.55879,0.32029,0.82274,0.8275,0.84077,0.47576,0.44023,0.53003,0.50391,0.000863116,0.000863116,0.000863116
42,492.076,0.3694,0.54403,0.32595,0.82054,0.77861,0.82452,0.47946,0.43796,0.55573,0.48464,0.000848969,0.000848969,0.000848969
43,503.819,0.37563,0.56388,0.32303,0.83684,0.81224,0.83782,0.48107,0.44215,0.5371,0.50636,0.000834822,0.000834822,0.000834822
44,515.499,0.36734,0.55694,0.31538,nan,0.98425,0.80486,0.48128,nan,nan,nan,0.000820675,0.000820675,0.000820675
45,527.175,0.36058,0.55253,0.31182,0.80589,0.83675,0.82965,0.4847,0.43016,0.56105,0.476,0.000806528,0.000806528,0.000806528
46,538.854,0.37526,0.55308,0.32555,nan,0.91857,0.76417,0.45344,nan,nan,nan,0.00079238,0.00079238,0.00079238
47,550.619,0.35507,0.52712,0.30932,nan,0.95935,0.77273,0.46183,nan,nan,nan,0.000778233,0.000778233,0.000778233
48,562.334,0.3587,0.54869,0.3099,0.82164,0.80429,0.82451,0.4801,0.43869,0.57037,0.50804,0.000764086,0.000764086,0.000764086
49,574.025,0.34974,0.53546,0.30754,0.79971,0.77649,0.80072,0.45286,0.45653,0.56866,0.53853,0.000749939,0.000749939,0.000749939
50,585.709,0.36033,0.53049,0.3122,0.78238,0.81266,0.82093,0.47748,0.43775,0.54401,0.49497,0.000735792,0.000735792,0.000735792
51,597.8,0.35137,0.52566,0.29705,0.81005,0.81124,0.80808,0.4735,0.43923,0.54591,0.49745,0.000721645,0.000721645,0.000721645
52,609.484,0.3514,0.53675,0.31019,nan,0.97092,0.83693,0.49091,nan,nan,nan,0.000707498,0.000707498,0.000707498
53,621.168,0.35257,0.52572,0.31274,nan,0.95058,0.80586,0.4718,nan,nan,nan,0.000693351,0.000693351,0.000693351
