metric,mean,std
accuracy,0.42146118721461184,0.17445193378184484
precision,0.7918821341530398,0.395988204947362
recall,0.34041884816753926,0.20242882538508014
f1_score,0.4675453994447933,0.25808793379858375
mse,1.1474885844748859,0.250267470188511
mae,0.7949771689497716,0.17665296986598802
rmse,1.0647623185373607,0.11734474635802648
num_samples,2190.0,0.0
