epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9378,0.72716,12.4106,0.66473,0.84117,0.48976,0.51323,0.28045,0.4689,0.88347,0.55947,0.00046641,0.00046641,0.00046641
2,23.9163,0.47978,0.78021,0.44448,nan,0.74254,0.53648,0.27449,nan,nan,nan,0.00093341,0.00093341,0.00093341
3,35.3319,0.45837,0.74566,0.41249,0.83351,0.48752,0.55367,0.25506,0.56596,0.81472,0.75685,0.00139098,0.00139098,0.00139098
4,46.6702,0.46914,0.73965,0.41652,0.76476,0.52345,0.56942,0.29566,0.49724,0.82837,0.61565,0.00138656,0.00138656,0.00138656
5,58.2786,0.46014,0.71251,0.40636,0.77907,0.42073,0.46587,0.23956,0.59005,0.84339,0.70572,0.00137241,0.00137241,0.00137241
6,69.6108,0.45191,0.7072,0.39806,0.69516,0.56745,0.62124,0.31667,0.4923,0.80272,0.59788,0.00135826,0.00135826,0.00135826
7,81.2664,0.44201,0.68143,0.39119,0.71591,0.57918,0.66677,0.36961,0.47014,0.79487,0.51851,0.00134412,0.00134412,0.00134412
8,92.9711,0.43407,0.6842,0.37938,0.76654,0.68995,0.73668,0.41468,0.45867,0.64379,0.5261,0.00132997,0.00132997,0.00132997
9,104.696,0.43375,0.65025,0.38586,0.73313,0.5905,0.67559,0.34449,0.49002,0.83449,0.58353,0.00131582,0.00131582,0.00131582
10,116.233,0.43556,0.66984,0.38579,0.7452,0.73521,0.75329,0.42664,0.44917,0.6059,0.50282,0.00130168,0.00130168,0.00130168
11,127.978,0.41956,0.66383,0.37158,0.78819,0.69031,0.73434,0.42106,0.45574,0.61951,0.5225,0.00128753,0.00128753,0.00128753
12,139.507,0.42216,0.6435,0.36618,0.80284,0.73384,0.78465,0.45524,0.44356,0.59273,0.50965,0.00127338,0.00127338,0.00127338
13,151.232,0.41179,0.64011,0.3681,0.77433,0.71418,0.72944,0.39712,0.49967,0.62081,0.58527,0.00125923,0.00125923,0.00125923
14,162.671,0.41115,0.64129,0.36706,0.77348,0.74711,0.77693,0.44758,0.44274,0.60472,0.49933,0.00124509,0.00124509,0.00124509
15,174.077,0.41308,0.61641,0.36933,0.74391,0.76747,0.76762,0.4323,0.44594,0.58447,0.51303,0.00123094,0.00123094,0.00123094
