epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.54356,1.64339,2.371,1.44144,0.48874,0.31546,0.56277,0.2826,1.68905,1.97675,1.51877,0.00046641,0.00046641,0.00046641
2,5.02451,1.50042,1.31129,1.35449,0.53463,0.75823,0.67476,0.34771,1.59985,1.66654,1.45531,0.00093341,0.00093341,0.00093341
3,7.40792,1.46239,1.22059,1.33564,0.56761,0.48553,0.51915,0.24565,1.85023,1.65586,1.66812,0.00139098,0.00139098,0.00139098
4,9.79477,1.46062,1.18653,1.34609,0.85514,0.4898,0.58092,0.28965,1.67929,1.38896,1.52072,0.00138656,0.00138656,0.00138656
5,12.2866,1.42986,1.13896,1.32566,0.56228,0.59145,0.59006,0.30551,1.64149,1.27567,1.51234,0.00137241,0.00137241,0.00137241
6,14.9155,1.41551,1.0995,1.31784,0.64915,0.70554,0.67616,0.35782,1.56353,1.21959,1.45518,0.00135826,0.00135826,0.00135826
7,17.3828,1.39178,1.09571,1.30783,0.75098,0.71298,0.75149,0.39838,1.60224,1.00679,1.44122,0.00134412,0.00134412,0.00134412
8,19.8085,1.37539,1.03688,1.29678,0.80686,0.64128,0.7262,0.39535,1.52173,1.07297,1.37304,0.00132997,0.00132997,0.00132997
9,22.4914,1.36726,1.02478,1.30384,0.74647,0.67081,0.70908,0.39428,1.44363,0.97171,1.35336,0.00131582,0.00131582,0.00131582
10,25.1128,1.35401,1.02446,1.29619,0.76561,0.73818,0.77924,0.42436,1.46976,0.95688,1.35711,0.00130168,0.00130168,0.00130168
11,27.5261,1.35012,0.99381,1.28521,0.77009,0.72456,0.7828,0.43346,1.4229,0.90782,1.32751,0.00128753,0.00128753,0.00128753
12,29.9464,1.34086,0.98618,1.28458,0.75852,0.71577,0.77546,0.43573,1.43921,0.98428,1.34112,0.00127338,0.00127338,0.00127338
13,32.5154,1.32156,0.96146,1.27197,0.77486,0.76402,0.80419,0.44234,1.44033,0.90189,1.33891,0.00125923,0.00125923,0.00125923
14,35.0773,1.32169,0.95401,1.26961,0.781,0.78445,0.80473,0.45113,1.41318,0.90079,1.32658,0.00124509,0.00124509,0.00124509
15,37.6366,1.30327,0.93766,1.26984,0.63792,0.66504,0.66096,0.3637,1.48616,1.06237,1.37403,0.00123094,0.00123094,0.00123094
16,40.087,1.29594,0.944,1.26695,0.80899,0.70051,0.74309,0.42177,1.45309,0.99313,1.34354,0.00121679,0.00121679,0.00121679
17,42.5173,1.29159,0.91373,1.25871,0.71734,0.68197,0.70669,0.39826,1.46692,0.94649,1.34586,0.00120265,0.00120265,0.00120265
18,44.8871,1.30087,0.90913,1.27051,0.80328,0.74976,0.80239,0.43584,1.46454,0.91428,1.37036,0.0011885,0.0011885,0.0011885
19,47.2675,1.2868,0.91921,1.26624,0.78242,0.80553,0.81302,0.47353,1.38303,0.84061,1.34616,0.00117435,0.00117435,0.00117435
20,49.6527,1.30398,0.91047,1.26852,0.85917,0.74319,0.81826,0.46955,1.38984,0.85233,1.31446,0.00116021,0.00116021,0.00116021
21,52.0238,1.27279,0.89003,1.25476,0.81608,0.74514,0.79873,0.45551,1.39134,0.86659,1.30245,0.00114606,0.00114606,0.00114606
22,54.3841,1.26904,0.86584,1.23946,0.823,0.7891,0.82841,0.47515,1.38496,0.83837,1.30185,0.00113191,0.00113191,0.00113191
23,56.7904,1.27187,0.86274,1.24425,0.85538,0.75958,0.81917,0.46432,1.40202,0.85687,1.31236,0.00111776,0.00111776,0.00111776
24,59.1405,1.26788,0.86771,1.24761,0.80285,0.79546,0.82711,0.47043,1.3835,0.83789,1.31047,0.00110362,0.00110362,0.00110362
25,61.5212,1.2491,0.85504,1.2362,0.79217,0.75206,0.78596,0.45727,1.39491,0.87875,1.32337,0.00108947,0.00108947,0.00108947
26,63.8826,1.27578,0.86263,1.25688,0.86168,0.7972,0.84649,0.48854,1.37941,0.80957,1.30996,0.00107532,0.00107532,0.00107532
27,66.2702,1.2478,0.85963,1.23013,0.7562,0.80245,0.81375,0.4655,1.3836,0.82585,1.30098,0.00106118,0.00106118,0.00106118
28,68.6577,1.24924,0.85792,1.24501,0.87268,0.79279,0.8274,0.47742,1.38049,0.80873,1.31373,0.00104703,0.00104703,0.00104703
29,71.0887,1.22895,0.8174,1.22351,0.80847,0.81431,0.84589,0.47366,1.38917,0.8128,1.31341,0.00103288,0.00103288,0.00103288
