epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.23905,1.63246,2.66593,1.43741,0.96771,0.11988,0.30213,0.17371,1.54401,2.82829,1.42031,0.00046641,0.00046641,0.00046641
2,8.3582,1.55771,1.38546,1.37413,0.68493,0.44548,0.62701,0.30385,1.70141,1.65436,1.63915,0.00093341,0.00093341,0.00093341
3,12.0891,1.51722,1.24725,1.35276,0.47695,0.66017,0.57651,0.26269,1.8665,1.49661,1.712,0.00139098,0.00139098,0.00139098
4,15.9375,1.49923,1.2284,1.35565,0.51726,0.56046,0.51689,0.2234,1.79168,1.51272,1.62323,0.00138656,0.00138656,0.00138656
5,19.8481,1.49152,1.19208,1.35972,0.56275,0.69666,0.64734,0.31756,1.61324,1.28777,1.48638,0.00137241,0.00137241,0.00137241
6,23.7351,1.44913,1.16152,1.33537,0.60871,0.68201,0.63641,0.32554,1.62798,1.18532,1.45251,0.00135826,0.00135826,0.00135826
7,27.4429,1.44708,1.12952,1.3348,0.71943,0.69596,0.72732,0.39461,1.51244,1.03084,1.39325,0.00134412,0.00134412,0.00134412
8,31.183,1.40212,1.08143,1.31227,0.7447,0.71638,0.74195,0.40457,1.47803,1.04629,1.36654,0.00132997,0.00132997,0.00132997
9,34.9058,1.40183,1.06843,1.32181,0.79193,0.7787,0.80092,0.42681,1.51278,0.96057,1.43431,0.00131582,0.00131582,0.00131582
10,38.6843,1.39646,1.08683,1.32669,0.69173,0.76619,0.72966,0.40156,1.47931,1.07707,1.3808,0.00130168,0.00130168,0.00130168
11,42.3664,1.37814,1.04997,1.30735,0.73872,0.72432,0.74279,0.40691,1.49363,0.99491,1.38811,0.00128753,0.00128753,0.00128753
12,46.0461,1.36406,1.00751,1.30494,0.76656,0.68717,0.72842,0.39155,1.51795,1.021,1.38336,0.00127338,0.00127338,0.00127338
13,49.7716,1.36085,1.00636,1.30314,0.76287,0.77709,0.78567,0.42627,1.50064,1.05466,1.41318,0.00125923,0.00125923,0.00125923
14,53.5393,1.35166,0.99072,1.29533,0.75624,0.74987,0.77414,0.43112,1.49813,0.91502,1.41563,0.00124509,0.00124509,0.00124509
15,57.2535,1.35039,0.97939,1.29792,0.75425,0.77933,0.80067,0.44443,1.4385,0.88659,1.37589,0.00123094,0.00123094,0.00123094
16,60.9655,1.33468,0.98302,1.29598,0.79723,0.76341,0.77954,0.43579,1.44706,0.9059,1.3755,0.00121679,0.00121679,0.00121679
17,64.6502,1.32243,0.95902,1.28336,0.79198,0.77033,0.79066,0.44058,1.42401,0.8992,1.36624,0.00120265,0.00120265,0.00120265
18,68.3445,1.31475,0.93729,1.28628,0.82957,0.74439,0.79246,0.44033,1.43617,0.9571,1.37739,0.0011885,0.0011885,0.0011885
19,72.0719,1.31317,0.94519,1.28809,0.82154,0.73166,0.7779,0.42102,1.57141,0.92505,1.413,0.00117435,0.00117435,0.00117435
20,75.8404,1.31154,0.91551,1.28108,0.80057,0.77299,0.79341,0.44591,1.43048,0.87782,1.34742,0.00116021,0.00116021,0.00116021
21,79.5949,1.29521,0.93749,1.2776,0.78741,0.74629,0.80614,0.46188,1.42642,0.84971,1.37009,0.00114606,0.00114606,0.00114606
22,83.3491,1.30263,0.92167,1.27173,0.78323,0.79682,0.80771,0.44196,1.51228,0.87052,1.39742,0.00113191,0.00113191,0.00113191
23,87.0563,1.29656,0.90905,1.27438,0.79431,0.8131,0.82415,0.45913,1.43924,0.84184,1.37667,0.00111776,0.00111776,0.00111776
24,90.7668,1.28754,0.90731,1.28089,0.80109,0.81602,0.83086,0.46169,1.44103,0.85127,1.37471,0.00110362,0.00110362,0.00110362
25,94.7276,1.30023,0.90086,1.27453,0.8361,0.75606,0.82481,0.47792,1.43612,0.86504,1.35708,0.00108947,0.00108947,0.00108947
26,98.4883,1.28358,0.88705,1.26667,0.85554,0.77888,0.84626,0.48728,1.40648,0.81722,1.35607,0.00107532,0.00107532,0.00107532
27,102.257,1.27312,0.87919,1.26642,0.82057,0.81932,0.8267,0.47494,1.39349,0.81819,1.35854,0.00106118,0.00106118,0.00106118
28,105.981,1.26865,0.88156,1.2639,0.81506,0.82421,0.83149,0.47816,1.38566,0.8142,1.31932,0.00104703,0.00104703,0.00104703
29,109.681,1.27926,0.88694,1.26219,0.76712,0.85761,0.84559,0.48605,1.4193,0.79265,1.34992,0.00103288,0.00103288,0.00103288
30,113.436,1.26249,0.86646,1.26075,0.84367,0.80923,0.84437,0.48632,1.40821,0.79285,1.37034,0.00101873,0.00101873,0.00101873
31,117.321,1.26113,0.85602,1.26032,0.80345,0.80925,0.832,0.48177,1.37866,0.78667,1.35106,0.00100459,0.00100459,0.00100459
32,121.185,1.2673,0.84851,1.26072,0.81972,0.79691,0.83653,0.48004,1.40349,0.77792,1.35732,0.00099044,0.00099044,0.00099044
33,124.878,1.26041,0.84772,1.26459,0.82453,0.82555,0.85546,0.49902,1.37104,0.76807,1.34337,0.000976293,0.000976293,0.000976293
34,128.602,1.24851,0.86121,1.2608,0.8082,0.80584,0.84842,0.48676,1.3899,0.78412,1.37136,0.000962146,0.000962146,0.000962146
35,132.323,1.25045,0.83678,1.25788,0.80158,0.83349,0.85274,0.49759,1.39238,0.78127,1.35321,0.000947999,0.000947999,0.000947999
36,136.244,1.24952,0.83288,1.24942,0.8453,0.79438,0.84749,0.47864,1.39149,0.7929,1.36306,0.000933851,0.000933851,0.000933851
37,140.005,1.2465,0.82645,1.25766,0.78905,0.8254,0.84084,0.48837,1.37122,0.78912,1.35842,0.000919704,0.000919704,0.000919704
38,143.9,1.23399,0.82995,1.25241,0.82954,0.80622,0.83569,0.48216,1.40256,0.76107,1.37481,0.000905557,0.000905557,0.000905557
39,147.771,1.22228,0.82513,1.24569,0.87056,0.77553,0.84627,0.49541,1.39994,0.78864,1.36447,0.00089141,0.00089141,0.00089141
40,151.482,1.2348,0.82974,1.25228,0.81483,0.82481,0.828,0.47664,1.40487,0.78495,1.35626,0.000877263,0.000877263,0.000877263
41,155.364,1.21547,0.8062,1.23482,0.80569,0.81269,0.84478,0.4865,1.36545,0.78127,1.33736,0.000863116,0.000863116,0.000863116
42,159.236,1.22191,0.80807,1.24437,0.82539,0.82691,0.85599,0.49398,1.39237,0.759,1.35465,0.000848969,0.000848969,0.000848969
43,163.098,1.22839,0.82328,1.25273,0.80194,0.83977,0.85119,0.49765,1.39554,0.77651,1.36411,0.000834822,0.000834822,0.000834822
44,166.807,1.22057,0.80485,1.24508,0.8269,0.82567,0.85611,0.50228,1.38953,0.75197,1.37976,0.000820675,0.000820675,0.000820675
45,170.537,1.21565,0.80303,1.23692,0.80521,0.82807,0.85367,0.49478,1.38021,0.76376,1.33298,0.000806528,0.000806528,0.000806528
46,174.258,1.23723,0.80335,1.24677,0.80641,0.82072,0.84333,0.50753,1.38195,0.75872,1.35688,0.00079238,0.00079238,0.00079238
47,177.995,1.18947,0.78365,1.22426,0.80439,0.82013,0.8407,0.49866,1.38088,0.7629,1.3681,0.000778233,0.000778233,0.000778233
48,181.71,1.19976,0.78693,1.23847,0.79423,0.82425,0.84464,0.49641,1.37626,0.76388,1.36146,0.000764086,0.000764086,0.000764086
49,185.408,1.17997,0.77235,1.2245,0.8099,0.83246,0.85808,0.51395,1.36315,0.72781,1.36236,0.000749939,0.000749939,0.000749939
50,189.383,1.19829,0.77655,1.23813,0.81575,0.81951,0.84764,0.50625,1.36696,0.74363,1.36082,0.000735792,0.000735792,0.000735792
51,193.088,1.19859,0.76996,1.22499,0.80559,0.82007,0.85182,0.51155,1.38726,0.74276,1.36031,0.000721645,0.000721645,0.000721645
52,196.848,1.19869,0.78335,1.23792,0.80735,0.79751,0.83283,0.49396,1.38672,0.74561,1.35407,0.000707498,0.000707498,0.000707498
53,200.594,1.18375,0.77187,1.23127,0.84918,0.79681,0.85469,0.51275,1.37015,0.74559,1.36157,0.000693351,0.000693351,0.000693351
54,204.488,1.18985,0.76559,1.22492,0.8255,0.81743,0.85074,0.50061,1.36443,0.73796,1.34909,0.000679204,0.000679204,0.000679204
55,208.348,1.18452,0.76895,1.22799,0.84354,0.81395,0.85881,0.50438,1.37844,0.73083,1.3588,0.000665057,0.000665057,0.000665057
56,212.319,1.18127,0.7546,1.22227,0.81057,0.82863,0.84898,0.48907,1.40637,0.73967,1.3754,0.000650909,0.000650909,0.000650909
57,216.218,1.17852,0.75251,1.22096,0.79567,0.84932,0.85456,0.50148,1.3792,0.73632,1.35469,0.000636762,0.000636762,0.000636762
58,219.978,1.16922,0.74595,1.21978,0.83383,0.7944,0.84544,0.49812,1.35072,0.75898,1.34531,0.000622615,0.000622615,0.000622615
59,223.736,1.1687,0.75367,1.22901,0.8487,0.83284,0.85599,0.49981,1.36278,0.71599,1.3589,0.000608468,0.000608468,0.000608468
60,227.465,1.1648,0.75258,1.21946,0.84482,0.80959,0.86714,0.50413,1.36844,0.72507,1.3565,0.000594321,0.000594321,0.000594321
61,231.206,1.15173,0.7382,1.21533,0.84359,0.83355,0.86136,0.50088,1.40002,0.71863,1.37584,0.000580174,0.000580174,0.000580174
62,235.089,1.15998,0.73719,1.21514,0.8444,0.81771,0.85788,0.51432,1.34444,0.72365,1.35683,0.000566027,0.000566027,0.000566027
63,238.854,1.16655,0.7494,1.22412,0.83389,0.82703,0.85239,0.50388,1.34996,0.71761,1.3719,0.00055188,0.00055188,0.00055188
64,242.762,1.15057,0.74046,1.21994,0.83155,0.8169,0.85465,0.50361,1.38678,0.72397,1.37507,0.000537733,0.000537733,0.000537733
65,246.685,1.15556,0.73003,1.21518,0.83839,0.8243,0.85794,0.50874,1.3722,0.71721,1.38344,0.000523586,0.000523586,0.000523586
66,250.603,1.1359,0.71108,1.20554,0.83643,0.80327,0.83803,0.506,1.3558,0.71559,1.3686,0.000509438,0.000509438,0.000509438
67,254.47,1.14218,0.71095,1.20741,0.84181,0.80607,0.85834,0.5051,1.36427,0.72333,1.35483,0.000495291,0.000495291,0.000495291
68,258.363,1.14005,0.71114,1.2093,0.84896,0.80673,0.85208,0.50781,1.36056,0.71722,1.3526,0.000481144,0.000481144,0.000481144
69,262.248,1.15096,0.72193,1.21804,0.84944,0.81226,0.86493,0.50572,1.36821,0.70938,1.35879,0.000466997,0.000466997,0.000466997
70,266.104,1.12567,0.71328,1.21171,0.80614,0.84283,0.85056,0.50567,1.36242,0.71981,1.35718,0.00045285,0.00045285,0.00045285
71,269.968,1.13582,0.71677,1.19781,0.80192,0.83566,0.85246,0.50736,1.3435,0.70935,1.34618,0.000438703,0.000438703,0.000438703
72,273.727,1.11553,0.70819,1.19294,0.81821,0.80792,0.85194,0.5069,1.35461,0.71649,1.36038,0.000424556,0.000424556,0.000424556
73,277.468,1.13241,0.702,1.20893,0.81654,0.82846,0.86225,0.50833,1.35736,0.70379,1.36444,0.000410409,0.000410409,0.000410409
74,281.192,1.12981,0.69833,1.19897,0.80831,0.8478,0.86126,0.51708,1.34123,0.71214,1.35389,0.000396262,0.000396262,0.000396262
75,285.08,1.12069,0.70506,1.19376,0.81019,0.82795,0.85808,0.51669,1.37045,0.70199,1.3623,0.000382115,0.000382115,0.000382115
76,288.937,1.10699,0.68778,1.19346,0.85142,0.78405,0.845,0.50016,1.38536,0.70783,1.36172,0.000367967,0.000367967,0.000367967
77,292.638,1.11285,0.69286,1.19147,0.8172,0.82541,0.85986,0.50856,1.36889,0.72129,1.3574,0.00035382,0.00035382,0.00035382
78,296.526,1.12305,0.69329,1.20652,0.79605,0.83811,0.85433,0.50702,1.36688,0.70367,1.36206,0.000339673,0.000339673,0.000339673
79,300.394,1.11265,0.69327,1.18993,0.83982,0.80469,0.8514,0.50632,1.37473,0.70622,1.36199,0.000325526,0.000325526,0.000325526
80,304.268,1.10537,0.69357,1.19855,0.82271,0.79596,0.84592,0.4977,1.36989,0.70469,1.36369,0.000311379,0.000311379,0.000311379
81,308.129,1.10889,0.68634,1.18993,0.80867,0.83708,0.85515,0.51079,1.35809,0.69638,1.35445,0.000297232,0.000297232,0.000297232
82,312.043,1.11622,0.68309,1.20529,0.8264,0.824,0.85537,0.50051,1.38046,0.70083,1.36324,0.000283085,0.000283085,0.000283085
83,315.912,1.1001,0.6835,1.19652,0.83564,0.81893,0.85879,0.50858,1.35748,0.70169,1.365,0.000268938,0.000268938,0.000268938
84,319.798,1.0992,0.66263,1.18931,0.82875,0.80478,0.84928,0.50668,1.35566,0.71157,1.35786,0.000254791,0.000254791,0.000254791
85,323.581,1.09412,0.67488,1.18696,0.82202,0.81374,0.83302,0.50871,1.35879,0.71833,1.35264,0.000240644,0.000240644,0.000240644
86,327.293,1.09813,0.67239,1.18994,0.84633,0.78545,0.84282,0.50534,1.35716,0.69772,1.36667,0.000226497,0.000226497,0.000226497
87,331.009,1.09386,0.66609,1.18028,0.82247,0.80065,0.84692,0.5028,1.36551,0.6965,1.36604,0.000212349,0.000212349,0.000212349
88,334.718,1.0679,0.66293,1.17466,0.82015,0.82536,0.84938,0.51158,1.35334,0.70016,1.36366,0.000198202,0.000198202,0.000198202
89,338.451,1.09232,0.67653,1.18926,0.85488,0.80951,0.85252,0.514,1.35204,0.69861,1.36221,0.000184055,0.000184055,0.000184055
90,342.155,1.06404,0.64696,1.17387,0.79171,0.85184,0.85182,0.50598,1.36241,0.69711,1.36811,0.000169908,0.000169908,0.000169908
91,346.472,1.06013,0.63469,1.19722,0.79079,0.83214,0.84075,0.49854,1.37877,0.70122,1.40197,0.000155761,0.000155761,0.000155761
92,350.307,1.05003,0.58528,1.18717,0.83171,0.81231,0.84268,0.49655,1.37503,0.70371,1.39788,0.000141614,0.000141614,0.000141614
93,354.038,1.03434,0.58247,1.1824,0.79827,0.83213,0.85003,0.49938,1.37396,0.69842,1.38706,0.000127467,0.000127467,0.000127467
94,357.907,1.01868,0.57511,1.17527,0.80852,0.826,0.85246,0.50623,1.35928,0.69643,1.38069,0.00011332,0.00011332,0.00011332
95,361.876,1.02387,0.56333,1.16378,0.81508,0.83071,0.8505,0.50566,1.3628,0.69829,1.38959,9.91726e-05,9.91726e-05,9.91726e-05
96,365.741,1.02329,0.56263,1.17881,0.82118,0.82535,0.84719,0.49843,1.37202,0.70361,1.38507,8.50255e-05,8.50255e-05,8.50255e-05
97,369.503,1.02189,0.56541,1.16578,0.81245,0.81809,0.8466,0.50046,1.36752,0.70465,1.38158,7.08784e-05,7.08784e-05,7.08784e-05
98,373.334,1.00251,0.55444,1.16218,0.81209,0.81181,0.84847,0.49951,1.37063,0.70283,1.38327,5.67313e-05,5.67313e-05,5.67313e-05
99,377.223,0.99603,0.54766,1.15703,0.82358,0.80106,0.84646,0.50478,1.36487,0.69898,1.38189,4.25842e-05,4.25842e-05,4.25842e-05
100,381.009,1.00056,0.54863,1.16353,0.82285,0.81821,0.85099,0.50415,1.36803,0.69497,1.38473,2.84371e-05,2.84371e-05,2.84371e-05
