epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.23194,1.70525,2.43771,1.50224,0.58296,0.28056,0.45664,0.23904,1.60078,2.30516,1.40689,0.00046641,0.00046641,0.00046641
2,6.45004,1.4934,1.34861,1.37378,0.47314,0.77335,0.64446,0.34231,1.53098,1.51166,1.39804,0.00093341,0.00093341,0.00093341
3,9.39462,1.4795,1.26228,1.35031,0.63392,0.63385,0.63135,0.31807,1.65298,1.43537,1.49939,0.00139098,0.00139098,0.00139098
4,12.3215,1.47836,1.22289,1.34053,0.56043,0.66959,0.64122,0.33085,1.57558,1.397,1.4272,0.00138656,0.00138656,0.00138656
5,15.2501,1.44192,1.14951,1.3254,0.64522,0.62317,0.64729,0.34872,1.54341,1.11955,1.38857,0.00137241,0.00137241,0.00137241
6,18.168,1.40655,1.14289,1.30445,0.69731,0.60358,0.64138,0.35463,1.53681,1.12161,1.39339,0.00135826,0.00135826,0.00135826
7,21.1376,1.40727,1.11709,1.29647,0.68595,0.71613,0.7297,0.40707,1.45199,1.06367,1.33421,0.00134412,0.00134412,0.00134412
8,24.1956,1.40355,1.08061,1.28932,0.78525,0.65288,0.71822,0.40391,1.46777,0.98626,1.3203,0.00132997,0.00132997,0.00132997
9,27.0962,1.37738,1.05144,1.27944,0.73,0.73793,0.75258,0.4271,1.47973,0.95492,1.33563,0.00131582,0.00131582,0.00131582
10,30.1171,1.37875,1.05512,1.28922,0.70205,0.75168,0.75914,0.42771,1.4704,1.05059,1.34339,0.00130168,0.00130168,0.00130168
11,33.0382,1.36402,1.02717,1.27785,0.78127,0.7014,0.76519,0.4375,1.44681,0.97809,1.3247,0.00128753,0.00128753,0.00128753
12,35.948,1.36349,1.02857,1.27942,0.65991,0.74375,0.71426,0.39007,1.43981,1.00343,1.32237,0.00127338,0.00127338,0.00127338
13,38.877,1.34309,0.99628,1.26885,0.77221,0.77413,0.7758,0.43591,1.4507,0.93491,1.3407,0.00125923,0.00125923,0.00125923
14,42.2606,1.33654,0.99898,1.26456,0.71353,0.72506,0.76226,0.43613,1.42262,0.90023,1.32145,0.00124509,0.00124509,0.00124509
15,45.1856,1.3233,0.99047,1.25739,0.75585,0.75869,0.77009,0.43829,1.40091,0.86844,1.30782,0.00123094,0.00123094,0.00123094
16,48.1775,1.31618,0.96859,1.25046,0.79433,0.74967,0.78696,0.45015,1.39606,0.88164,1.29027,0.00121679,0.00121679,0.00121679
17,51.4584,1.3103,0.96203,1.2463,0.78524,0.76586,0.7819,0.4485,1.39977,0.86488,1.29331,0.00120265,0.00120265,0.00120265
18,54.3095,1.29963,0.94967,1.24674,0.79492,0.79636,0.81314,0.4681,1.38675,0.84415,1.29482,0.0011885,0.0011885,0.0011885
19,57.23,1.30375,0.94315,1.24868,0.77935,0.81242,0.80318,0.46348,1.3873,0.84021,1.27907,0.00117435,0.00117435,0.00117435
20,60.1363,1.29497,0.9338,1.24207,0.75238,0.8303,0.80503,0.45529,1.37617,0.84149,1.28693,0.00116021,0.00116021,0.00116021
21,63.3225,1.29893,0.92776,1.24663,0.7504,0.82908,0.79314,0.46485,1.37009,0.82206,1.27865,0.00114606,0.00114606,0.00114606
22,66.157,1.28486,0.91897,1.23626,0.78167,0.77465,0.79558,0.45379,1.3949,0.82505,1.29389,0.00113191,0.00113191,0.00113191
23,69.0565,1.27675,0.90964,1.22762,0.77756,0.82811,0.81534,0.46917,1.36409,0.84305,1.27639,0.00111776,0.00111776,0.00111776
24,72.0028,1.26717,0.90934,1.23357,0.75479,0.78406,0.78881,0.45101,1.41915,0.84229,1.29344,0.00110362,0.00110362,0.00110362
25,75.111,1.26296,0.89259,1.22533,0.75282,0.7755,0.79594,0.44772,1.39394,0.8098,1.29445,0.00108947,0.00108947,0.00108947
26,77.9044,1.26084,0.89778,1.22514,0.80054,0.79318,0.81121,0.46942,1.37614,0.82313,1.27689,0.00107532,0.00107532,0.00107532
27,80.9596,1.25741,0.88556,1.21916,0.76019,0.84011,0.82257,0.47352,1.41928,0.79242,1.30128,0.00106118,0.00106118,0.00106118
