epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.23098,1.68166,2.39925,1.48881,0.91803,0.27314,0.50756,0.25194,1.66092,2.23826,1.39596,0.00046641,0.00046641,0.00046641
2,6.32184,1.51824,1.35382,1.37712,0.53394,0.52195,0.60999,0.32299,1.58461,1.65647,1.42268,0.00093341,0.00093341,0.00093341
3,9.13714,1.46887,1.2629,1.34379,0.61852,0.70588,0.69653,0.36839,1.55292,1.27084,1.42828,0.00139098,0.00139098,0.00139098
4,11.9174,1.45883,1.21219,1.33681,0.61074,0.6881,0.67752,0.35683,1.59241,1.22206,1.44909,0.00138656,0.00138656,0.00138656
5,14.7729,1.45032,1.16981,1.33563,0.72112,0.73312,0.74803,0.37978,1.61617,1.06725,1.44316,0.00137241,0.00137241,0.00137241
6,17.8132,1.42225,1.13771,1.31708,0.65214,0.69983,0.69206,0.3568,1.62232,1.19715,1.46402,0.00135826,0.00135826,0.00135826
7,20.6777,1.40984,1.11513,1.31222,0.75663,0.72228,0.77877,0.42042,1.44469,1.02184,1.33788,0.00134412,0.00134412,0.00134412
8,23.4322,1.37312,1.05695,1.28537,0.7601,0.71781,0.74277,0.40766,1.51213,0.99422,1.35241,0.00132997,0.00132997,0.00132997
9,26.1478,1.38708,1.05569,1.29274,0.73233,0.74486,0.77702,0.42375,1.4824,1.03092,1.35237,0.00131582,0.00131582,0.00131582
10,28.8776,1.36983,1.05819,1.28858,0.83158,0.73026,0.77333,0.43618,1.42445,0.91765,1.29694,0.00130168,0.00130168,0.00130168
11,31.5782,1.35755,1.03357,1.27464,0.78319,0.72113,0.77888,0.42566,1.49715,0.94791,1.3611,0.00128753,0.00128753,0.00128753
12,34.2773,1.34485,0.99894,1.27106,0.83044,0.74912,0.79603,0.45247,1.44059,0.89122,1.31531,0.00127338,0.00127338,0.00127338
13,36.9656,1.34634,1.00121,1.27033,0.7667,0.76078,0.78818,0.43616,1.4715,0.8895,1.33485,0.00125923,0.00125923,0.00125923
14,39.6313,1.33076,0.98518,1.25945,0.78671,0.74159,0.77975,0.44128,1.42921,0.90893,1.32801,0.00124509,0.00124509,0.00124509
15,42.2952,1.33327,0.97619,1.26365,0.74822,0.7727,0.79412,0.44577,1.44314,0.87016,1.31989,0.00123094,0.00123094,0.00123094
16,44.9377,1.32197,0.97923,1.26012,0.76969,0.76273,0.80289,0.45486,1.40281,0.8867,1.30719,0.00121679,0.00121679,0.00121679
