epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.47468,1.67525,2.40896,1.48294,0.52928,0.32421,0.51177,0.23937,1.72505,2.27692,1.5906,0.00046641,0.00046641,0.00046641
2,6.50006,1.51963,1.35932,1.3865,0.55644,0.43633,0.59844,0.33077,1.54718,1.77332,1.40169,0.00093341,0.00093341,0.00093341
3,9.33682,1.47897,1.27426,1.34952,0.65602,0.67127,0.68649,0.35959,1.57392,1.24717,1.44656,0.00139098,0.00139098,0.00139098
4,12.1883,1.46972,1.20293,1.34523,0.56225,0.63795,0.62145,0.32929,1.60914,1.25079,1.43252,0.00138656,0.00138656,0.00138656
5,14.99,1.43775,1.15882,1.32758,0.66556,0.71086,0.68354,0.36,1.59061,1.13171,1.46627,0.00137241,0.00137241,0.00137241
6,18.1021,1.4212,1.11663,1.31293,0.6932,0.69122,0.69285,0.38097,1.50311,1.17995,1.3963,0.00135826,0.00135826,0.00135826
7,20.8577,1.40673,1.11112,1.30772,0.61963,0.6608,0.68575,0.35185,1.66917,1.19859,1.45463,0.00134412,0.00134412,0.00134412
8,23.6059,1.38158,1.05855,1.28359,0.75743,0.71441,0.76422,0.41474,1.47919,1.04206,1.33998,0.00132997,0.00132997,0.00132997
9,26.3725,1.38736,1.05648,1.29609,0.69613,0.72477,0.72885,0.40907,1.4405,0.99065,1.32373,0.00131582,0.00131582,0.00131582
10,29.0858,1.36149,1.04327,1.28684,0.75176,0.71982,0.75723,0.41549,1.46081,0.98291,1.34453,0.00130168,0.00130168,0.00130168
11,31.84,1.36809,1.02335,1.28442,0.7171,0.71565,0.75393,0.42027,1.48261,0.99489,1.35399,0.00128753,0.00128753,0.00128753
12,34.6145,1.35668,1.01326,1.27811,0.73976,0.73802,0.78211,0.43537,1.46656,0.9327,1.3452,0.00127338,0.00127338,0.00127338
13,37.3397,1.33574,0.9905,1.26447,0.7353,0.76552,0.75437,0.40512,1.51053,0.96205,1.3659,0.00125923,0.00125923,0.00125923
14,40.0687,1.33143,0.97529,1.26302,0.76585,0.74796,0.78044,0.43807,1.41069,0.96487,1.31263,0.00124509,0.00124509,0.00124509
15,42.8101,1.32554,0.97489,1.26405,0.7968,0.7321,0.77052,0.43394,1.42477,0.93672,1.31288,0.00123094,0.00123094,0.00123094
16,45.5398,1.31225,0.97227,1.25805,0.76176,0.78432,0.7931,0.43701,1.46799,0.89462,1.34381,0.00121679,0.00121679,0.00121679
17,48.2408,1.31005,0.94401,1.25152,0.78713,0.73897,0.77808,0.43942,1.41833,0.90968,1.30784,0.00120265,0.00120265,0.00120265
18,50.9783,1.31829,0.93249,1.26129,0.75588,0.77401,0.78991,0.43262,1.42997,0.92719,1.3226,0.0011885,0.0011885,0.0011885
19,53.6577,1.30422,0.94845,1.25817,0.82623,0.76395,0.82403,0.4702,1.3751,0.84213,1.30123,0.00117435,0.00117435,0.00117435
20,56.3523,1.31343,0.93652,1.25638,0.78099,0.76626,0.80062,0.45125,1.3844,0.86087,1.30028,0.00116021,0.00116021,0.00116021
21,59.1015,1.28887,0.9241,1.25004,0.78273,0.79713,0.8078,0.45497,1.38888,0.85495,1.29705,0.00114606,0.00114606,0.00114606
22,61.854,1.29231,0.89692,1.23793,0.80113,0.79504,0.82298,0.46957,1.39993,0.8456,1.29726,0.00113191,0.00113191,0.00113191
23,64.5909,1.28726,0.89389,1.23512,0.76536,0.77687,0.78551,0.43621,1.41262,0.91487,1.30675,0.00111776,0.00111776,0.00111776
