epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.42601,1.64976,2.69577,1.44095,0.39262,0.31944,0.23292,0.12376,1.75594,3.0656,1.5688,0.00046641,0.00046641,0.00046641
2,8.43285,1.5455,1.38489,1.3614,0.625,0.49734,0.62761,0.32543,1.55619,1.59036,1.43834,0.00093341,0.00093341,0.00093341
3,12.2114,1.5198,1.28459,1.3528,0.42003,0.5943,0.53904,0.26642,1.68018,1.43115,1.55979,0.00139098,0.00139098,0.00139098
4,15.9342,1.50925,1.25044,1.35453,0.50934,0.65783,0.61186,0.30319,1.63588,1.30531,1.51459,0.00138656,0.00138656,0.00138656
5,19.7446,1.47119,1.16997,1.34278,0.66248,0.54199,0.5685,0.27817,1.73945,1.32363,1.57,0.00137241,0.00137241,0.00137241
6,23.7561,1.45887,1.16778,1.34249,0.65751,0.65808,0.66399,0.34347,1.5969,1.32484,1.46008,0.00135826,0.00135826,0.00135826
7,27.6556,1.44282,1.1408,1.32596,0.51342,0.65696,0.55446,0.28247,1.62278,1.23803,1.46409,0.00134412,0.00134412,0.00134412
8,31.4066,1.43278,1.09475,1.32102,0.75023,0.79822,0.77613,0.42506,1.47266,1.03956,1.37903,0.00132997,0.00132997,0.00132997
9,35.1613,1.40447,1.06554,1.31084,0.72742,0.7281,0.73759,0.40942,1.52063,0.97993,1.41189,0.00131582,0.00131582,0.00131582
10,38.8926,1.39091,1.06166,1.31248,0.69852,0.76439,0.76221,0.42157,1.47106,1.01691,1.37649,0.00130168,0.00130168,0.00130168
11,42.6084,1.38655,1.04335,1.30754,0.80033,0.76232,0.76432,0.4168,1.54357,0.99856,1.41834,0.00128753,0.00128753,0.00128753
12,46.3134,1.37809,1.02297,1.31788,0.74493,0.77504,0.79184,0.44521,1.43473,0.93983,1.39449,0.00127338,0.00127338,0.00127338
13,50.0409,1.36315,1.006,1.30834,0.76609,0.75127,0.75543,0.41431,1.48908,0.92931,1.43335,0.00125923,0.00125923,0.00125923
14,53.7562,1.35959,1.00734,1.30389,0.70771,0.74618,0.73612,0.3982,1.49482,1.02165,1.41545,0.00124509,0.00124509,0.00124509
15,57.4863,1.34502,0.988,1.29638,0.80916,0.77156,0.7859,0.45022,1.43722,0.9784,1.36568,0.00123094,0.00123094,0.00123094
16,61.2843,1.32077,0.96812,1.28911,0.82005,0.77011,0.79736,0.45939,1.42383,0.88261,1.37258,0.00121679,0.00121679,0.00121679
17,65.3189,1.32568,0.96412,1.28663,0.77837,0.77213,0.79532,0.45466,1.41574,0.87682,1.35436,0.00120265,0.00120265,0.00120265
18,69.0811,1.31393,0.93681,1.28632,0.84265,0.80142,0.83058,0.46636,1.47031,0.83737,1.39761,0.0011885,0.0011885,0.0011885
19,72.869,1.31682,0.93931,1.29251,0.81105,0.78094,0.8071,0.45653,1.43062,0.83228,1.38871,0.00117435,0.00117435,0.00117435
20,76.7691,1.31439,0.92795,1.28704,0.75464,0.77552,0.78636,0.44691,1.45439,0.86882,1.37036,0.00116021,0.00116021,0.00116021
21,80.6465,1.31153,0.93361,1.28297,0.79303,0.79617,0.82247,0.486,1.37549,0.83213,1.32884,0.00114606,0.00114606,0.00114606
