metric,mean,std
accuracy,0.39246452128722764,0.07365530478014384
precision,0.968152518652204,0.005754736620665605
recall,0.1986445182724253,0.10151430215172463
f1_score,0.31745957309178946,0.14046584376761018
mse,1.2699180491704978,0.13702313831013588
mae,0.8585648610833501,0.0787648061824972
rmse,1.1252322171887958,0.06140445074165646
num_samples,10006.0,0.0
