epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6731,0.73512,12.7646,0.67593,0.75146,0.44372,0.44086,0.21133,0.49121,1.02071,0.5849,0.00046641,0.00046641,0.00046641
2,23.8733,0.48824,0.78258,0.43969,0.84811,0.48436,0.57543,0.31023,0.50503,0.75748,0.61465,0.00093341,0.00093341,0.00093341
3,35.6647,0.46788,0.73086,0.42229,nan,0.8133,0.48249,0.24991,nan,nan,nan,0.00139098,0.00139098,0.00139098
4,47.2161,0.48882,0.78162,0.44442,nan,0.25345,0.10514,0.04771,nan,nan,nan,0.00138656,0.00138656,0.00138656
5,58.8262,0.48316,0.76299,0.43785,0.59967,0.33896,0.38191,0.1754,0.56493,0.95933,0.71114,0.00137241,0.00137241,0.00137241
6,70.4537,0.51151,0.82896,0.45656,0.56182,0.11369,0.10438,0.04043,0.77123,1.09946,1.04943,0.00135826,0.00135826,0.00135826
7,82.0705,0.49572,0.75082,0.4511,0.69062,0.57733,0.62487,0.32443,0.50566,0.75931,0.60203,0.00134412,0.00134412,0.00134412
8,94.0081,0.46435,0.72807,0.40598,0.78295,0.54624,0.66615,0.36228,0.49366,0.71979,0.60679,0.00132997,0.00132997,0.00132997
9,105.968,0.4496,0.71705,0.40241,0.75961,0.69559,0.75035,0.42088,0.45439,0.64232,0.53785,0.00131582,0.00131582,0.00131582
10,117.913,0.44369,0.71376,0.39407,0.7395,0.7451,0.75252,0.4273,0.44923,0.63122,0.52515,0.00130168,0.00130168,0.00130168
11,129.851,0.43801,0.6999,0.38768,nan,0.9138,0.5785,0.28196,nan,nan,nan,0.00128753,0.00128753,0.00128753
12,141.515,0.43179,0.66312,0.3854,0.7577,0.66102,0.71935,0.40084,0.46335,0.69017,0.57472,0.00127338,0.00127338,0.00127338
13,153.211,0.42625,0.68303,0.3792,0.84498,0.72155,0.77386,0.43372,0.45479,0.63701,0.52449,0.00125923,0.00125923,0.00125923
14,165.155,0.42459,0.67755,0.37838,0.74682,0.68523,0.73046,0.38586,0.46331,0.67618,0.55333,0.00124509,0.00124509,0.00124509
15,176.808,0.42618,0.66185,0.38087,nan,0.83535,0.65696,0.35797,nan,nan,nan,0.00123094,0.00123094,0.00123094
16,188.473,0.42062,0.65676,0.37112,nan,0.74409,0.54052,0.28942,nan,nan,nan,0.00121679,0.00121679,0.00121679
17,200.149,0.42459,0.65917,0.37743,nan,0.94698,0.77089,0.44714,nan,nan,nan,0.00120265,0.00120265,0.00120265
18,211.85,0.41516,0.66011,0.36724,nan,0.97961,0.78641,0.44067,nan,nan,nan,0.0011885,0.0011885,0.0011885
19,223.527,0.41232,0.63814,0.36805,nan,0.80772,0.65348,0.36844,nan,nan,nan,0.00117435,0.00117435,0.00117435
20,235.125,0.41209,0.62398,0.36895,0.78249,0.73072,0.77743,0.4511,0.43719,0.60964,0.50508,0.00116021,0.00116021,0.00116021
21,247.113,0.40943,0.6412,0.35606,nan,0.98522,0.83294,0.48797,nan,nan,nan,0.00114606,0.00114606,0.00114606
22,258.691,0.40082,0.62161,0.35012,nan,0.97418,0.79826,0.45771,nan,nan,nan,0.00113191,0.00113191,0.00113191
23,270.317,0.41236,0.62939,0.3685,0.82414,0.80134,0.83817,0.48108,0.43098,0.5934,0.49974,0.00111776,0.00111776,0.00111776
24,282.209,0.39796,0.62368,0.3521,0.83235,0.69797,0.75781,0.4316,0.45553,0.64674,0.55043,0.00110362,0.00110362,0.00110362
