metric,mean,std
accuracy,0.6080151908854687,0.10870068233589819
precision,0.9396851304699357,0.017650010704655064
recall,0.5139933554817275,0.16154345227383865
f1_score,0.6476278203399147,0.13898096284334896
mse,0.8811313212072756,0.21481709923549439
mae,0.6250449730161903,0.1224942545076783
rmse,0.9318198989558508,0.11332694788612056
num_samples,10006.0,0.0
