model,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1_score,f1_score_std,mse,mse_std,mae,mae_std,rmse,rmse_std
Yolov5,0.6040182648401826,0.09711348710676763,0.9836291340425902,0.012726684057763246,0.5558115183246073,0.1144161031209384,0.7024488348947958,0.10065306425081037,0.8661187214611872,0.15511393345979735,0.6080365296803654,0.10005673835011908,0.9270640429973058,0.08167607754218228
Yolov8,0.6359817351598174,0.10270639743532814,0.9807545867031402,0.010601461823376571,0.5950785340314135,0.12352408736350522,0.7327530204543067,0.09489045279194251,0.8190867579908676,0.1708129767860465,0.5728767123287671,0.10811628347325572,0.9001114724065398,0.09426608739625644
Yolov12,0.6902283105022831,0.08706631107457231,0.9832773429032649,0.008148801052581166,0.6568586387434554,0.10679067743506376,0.7821000918828248,0.0746557632194005,0.708675799086758,0.15246301148591357,0.5150684931506849,0.09418930333040443,0.8367460204764638,0.09236826459103292
RTDETR,0.7115981735159818,0.1411390633067003,0.955493292037475,0.012932973925317564,0.7013612565445027,0.1670774393945496,0.7961859849531644,0.1314434886324071,0.6498630136986302,0.2481733101451344,0.4842009132420092,0.15862848083929748,0.7934870239839814,0.14227212118920085
